"CODGEO";"LIB_MOD";"PRIX17_19_%";"PrixMoyen_M2_1819";"LOC_13_18_%";"MED15_18_%";"MED18";"COMMUN_13_18_%";"ETCOQ18_20_%";"Total_18_20_%";"ETCGI20_%";"CDI_13_18_%";"CHOM_13_18_%";"Cad_13_18_%";"APL_SAPA";"SUP_13_18_%";"P13_P018_%";"P18_POP01P_IRAN1_%";"cluster"
92002;"Antony";9;5244.21007806955;0;5;30260;2;18;13;29;1;0;13;799.69;15;2;90;"Baix"
92004;"Asnières-sur-Seine";14;6136.21022524133;4;10;26210;6;32;16;35;-1;0;10;1020.57;13;0;89;"elevat"
92007;"Bagneux";11;4920.80082987552;0;8;19780;6;-11;11;47;-3;-6;20;895.73;24;6;90;"Moderat"
92009;"Bois-Colombes";14;6335.51505711319;0;9;30580;10;-2;31;29;-1;-10;5;976.35;14;0;88;"Baix"
92012;"Boulogne-Billancourt";14;8391.13014827018;2;7;33590;5;8;3;20;0;0;7;984.07;14;4;87;"Baix"
92014;"Bourg-la-Reine";8;5442.39694656489;2;5;32570;4;-31;-10;26;1;0;7;914.11;12;5;88;"Baix"
92019;"Châtenay-Malabry";5;4547.01791044776;-3;6;25290;3;8;5;35;0;9;6;909.45;11;5;88;"elevat"
92020;"Châtillon";9;5791.97577092511;-4;6;29000;9;5;13;25;0;0;8;887.32;8;3;90;"elevat"
92022;"Chaville";14;5769.26601941748;2;5;30890;9;23;-1;26;3;14;15;754.52;13;5;89;"Baix"
92023;"Clamart";12;5880.53538461538;4;6;27580;8;-18;21;33;1;0;11;709.96;14;1;91;"elevat"
92024;"Clichy";14;6191.33937007874;-3;10;20300;7;8;14;39;1;-7;13;1054.43;18;5;90;"Moderat"
92025;"Colombes";11;5302.3507565337;2;9;23140;8;-7;20;41;1;-7;13;990.11;19;2;91;"Moderat"
92026;"Courbevoie";10;6610.26237623762;0;7;30930;6;-1;5;28;0;0;3;914.75;11;-4;89;"Baix"
92032;"Fontenay-aux-Roses";4;4751.50304259635;4;2;25520;5;33;8;33;0;33;0;812.42;6;13;89;"elevat"
92033;"Garches";10;5927.12865497076;3;4;34750;7;-14;4;17;0;12;0;822.01;9;0;90;"Baix"
92035;"La Garenne-Colombes";10;6422.76915520629;4;8;31280;14;-24;5;24;0;-11;8;954.14;12;3;90;"Baix"
92036;"Gennevilliers";7;4055.84419263456;0;6;17470;2;9;9;48;2;-10;20;1016.08;19;10;93;"Crític"
92040;"Issy-les-Moulineaux";12;7510.11827321112;-3;5;31820;2;-10;6;24;0;0;10;983.14;12;4;88;"Baix"
92044;"Levallois-Perret";13;8814.59206510682;-2;8;32960;2;-10;4;22;0;-10;3;994.44;12;1;88;"Baix"
92046;"Malakoff";15;6520.80453752182;0;6;24380;4;-17;12;36;1;0;19;941.95;18;1;90;"Moderat"
