"LIB_MOD";"INSEE_COM";"P08_LOG";"C08_MEN";"P08_RP";"P08_RSECOCC";"P08_LOGVAC";"P08_RP_PROP";"P08_RP_LOC";"P08_ANEM_RP_PROP";"P08_ANEM_RP_LOC";"P08_RP_VOIT1P";"P13_LOG";"C13_MEN";"P13_RP";"P13_RSECOCC";"P13_LOGVAC";"P13_RP_PROP";"P13_RP_LOC";"P13_ANEM_RP_PROP";"P13_ANEM_RP_LOC";"P13_RP_VOIT1P";"P18_LOG";"C18_MEN";"P18_RP";"P18_RSECOCC";"P18_LOGVAC";"P18_RP_PROP";"P18_RP_LOC";"P18_ANEM_RP_PROP";"P18_ANEM_RP_LOC";"P18_RP_VOIT1P";"Prixm2";"Nb_Ventes";"PrixMoyen_M2";"PrixMoyen_M2_1819";"loyer_apparts";"loyer_maisons";"RP_13_%";"RSE_13_%";"VAC_13_%";"RP_18_%";"RSE_18_%";"VAC_18_%";"RP_PROP_13_%";"RP_LOC_13_%";"RP_PROP_18_%";"RP_LOC_18_%";"PROP_13_18_%";"LOC_13_18_%";"VOIT_13_%";"VOIT_18_%";"VOIT_13_18_%";"PRIX17_19_%"
"Paris 1er Arrondissement";75101;13671.8364497795;9987.79214732508;9987.79214732508;2109.1408439591;1574.90345849536;2899.51887624409;6293.67842581054;50659.3588472038;60042.9314473268;3132.13816615323;13534.4868825113;9910.49915197706;9900.49916522636;2326.851293553;1307.1364237319;3079.09405024397;6145.72779196824;58467.7974877524;62153.5881684725;2697.72937519467;13832.0080308297;9274.27072503374;9273.27072416772;3168.86342304717;1389.87388361484;3064.02371588858;5587.6783243071;59986.4894607553;58458.5135511688;2206.24042045619;NA;240;10969;10855.3913043478;36.65443839;30.93969673;73;17;10;67;23;10;31;62;33;60;6;-3;27;24;-11;NA
"Paris 2e Arrondissement";75102;16386.6655764811;13035.0927649101;13038.0928030089;1511.71842611053;1836.85434736163;4131.103970973;7974.09660170097;58073.9237361089;61284.031204843;3149.95743146026;17214.2166899583;12662.4800356689;12659.4799843176;2351.71109226603;2203.02561337471;4189.04776475122;7672.68895037808;67518.4972082179;55423.1071867775;2764.83032342844;17317.5211607157;12262.6281871362;12259.6281819581;3184.60282376161;1873.29015499599;4107.48102230345;7468.68700206279;66001.9561530306;55287.5586827865;2332.19528067826;NA;496;10833;10582.2944162437;34.02382455;30.93969673;74;14;13;71;18;11;33;61;34;61;3;0;22;19;-14;NA
"Paris 3e Arrondissement";75103;25593.872420096;20162.7342600039;20164.796125177;2830.86478552288;2598.21150939611;7346.07909499787;11574.8788588661;116002.33823337;98814.0130098087;5762.50516313244;25927.8186266138;20571.4384114692;20569.4384291043;2998.95655641641;2359.42364109309;7205.62973727736;12089.4173527938;124391.112886157;102593.247353966;5202.83962624016;26136.956556571;19787.8844673352;19784.8021179459;3935.15468871057;2416.99974991448;6980.48917834328;11712.1902625749;128010.882995602;95203.0078435547;4278.07852656233;NA;619;11144;10866.8138996139;34.20645628;30.93969673;79;12;9;76;15;9;35;59;35;59;0;0;25;22;-12;NA
"Paris 4e Arrondissement";75104;22525.0806018363;15994.016938969;16004.0030458026;4128.7655938422;2392.31196219154;5244.28783499113;9265.66102129628;105785.384615516;89123.7505178145;5390.06711269457;22543.6694647037;15828.0672459462;15827.0672352388;4610.23278737313;2106.36944209171;5270.10623116311;9126.5274968089;107537.64861129;82520.927546694;4719.83616847709;22902.3058112618;16179.7133292068;16187.4422689854;4721.82663694358;1993.0369053328;5215.2632079886;9573.96112808883;110004.899581769;90857.8791768286;3988.60654313143;NA;431;11681;11375.0205714286;36.24348998;30.93969673;70;20;9;71;21;9;33;58;32;59;-3;2;30;25;-17;NA
"Paris 5e Arrondissement";75105;40600.2053143105;34032.7100545835;34036.0799546346;3774.82501960779;2789.30034006813;11267.9160303593;19766.0211706734;229360.634430873;186648.672007735;12491.5714218753;39860.6713955833;33494.4258387712;33494.4258387712;4229.55984374409;2136.68571306801;10982.5889410734;19691.4309391534;220919.3091438;177907.529217366;11421.8418401129;39599.7217290679;32093.1199134148;32094.1300025925;5363.21610722554;2142.37561924983;11027.7107890629;18667.5981808094;241197.637871774;170836.866149396;9728.34967280996;NA;561;11290;11014.1336939722;32.70746349;30.93969673;84;11;5;81;14;5;33;59;34;58;3;-2;34;30;-12;NA
"Paris 6e Arrondissement";75106;32445.2786467717;23675.8518746027;23677.8518809798;5320.74766649397;3446.67909929795;8848.03588179892;12316.9316437315;190044.401286992;118385.484620976;9698.83530765279;31649.7644688029;23688.7410992946;23684.741139072;6101.88922763644;1863.1341020945;9545.8508684558;11777.7295345309;207011.298289785;105254.315835063;9096.73007129704;31606.392225903;22450.6730993748;22446.6731185801;7453.78612186318;1705.93298545973;8872.1661230676;11607.6114587436;198290.333974421;99948.3702049284;7419.59870562044;NA;331;11737;11613.0844444444;36.2000393;30.93969673;75;19;6;71;24;5;40;50;40;52;0;4;38;33;-13;NA
"Paris 7e Arrondissement";75107;38730.4525303773;30741.4804844195;30753.2361601832;5263.4624206134;2713.75394958069;11801.0059928114;15606.2688655931;236817.236545623;135484.670149727;14975.0517873804;39108.7099415336;29944.1019921645;29949.4447110541;7088.08521137577;2071.18001910367;11453.0567494545;15546.4590893747;238361.037833626;129110.554815878;14034.2245234676;39675.3720906427;27130.4213678567;27130.4213678567;9248.00644774548;3296.94427504047;10870.4054977982;13518.69360517;233688.90805479;104211.845929833;11592.6178265371;NA;477;11965;11680.1350397176;34.69807594;30.93969673;77;18;5;68;23;8;38;52;40;50;5;-4;47;43;-9;NA
"Paris 8e Arrondissement";75108;25920.8201279412;18396.8625373249;18394.8625568815;4007.22992063978;3518.72765042;6508.39910024599;9879.65507086353;115534.552842225;91741.2507581145;9746.55459574581;26777.8466359749;18984.9137077799;18983.9137158584;5180.80313445346;2613.12978566305;7054.51992005119;9827.69394920005;127558.416038536;80419.9523556639;9052.60991149765;27195.0235365119;17626.3787651882;17641.3787852007;6185.75284837719;3367.89190293405;6822.40105264747;8910.6235235743;127617.876296261;73233.7689921132;7807.12221638955;NA;623;10858;10587;35.00297709;30.93969673;71;19;10;65;23;12;37;52;39;51;5;-2;48;44;-8;NA
"Paris 9e Arrondissement";75109;38499.2164283796;31327.2207961358;31326.2207892269;2941.75093056946;4231.2447085832;12589.0126362247;16740.8619773736;198095.874986575;137840.350016376;10930.2053949274;39889.4968445183;31827.0535481569;31827.0535481569;4235.33913440932;3827.10416195206;12308.1220197699;17591.3471797823;206540.277891205;134593.386072746;9571.88474174249;40620.1005802897;32048.2677839908;32056.9467829196;5145.88711766027;3417.26667970983;12395.6444737569;17800.7908653082;213388.826374607;132724.816868581;8203.10423095572;NA;1099;10631;10298.3000449843;31.6175695;30.93969673;80;11;10;79;13;8;39;55;39;56;0;2;30;26;-13;NA
"Paris 10e Arrondissement";75110;57773.4873706388;48952.9393531187;48962.8598886237;2208.12895682522;6602.49852518988;17043.7508926652;29045.4217429411;246618.137710881;255570.662775475;14725.1583872047;58302.8283030757;47889.487568526;47888.4875721114;3650.16501769289;6764.17571327147;17556.2231758645;27727.1433011479;266807.945184466;232284.602884288;12257.0405476127;59789.9051900217;46830.4319551198;46827.4439900125;4693.25851717285;8269.20268283642;16769.4654913949;27851.8127323911;269971.222293185;246929.850647076;10615.4262413225;NA;1583;9790;9460.29282296651;28.91278949;30.93969673;82;6;12;78;8;14;37;58;36;59;-3;2;26;23;-12;NA
"Paris 11e Arrondissement";75111;98835.0143844313;86124.4677253473;86128.427571011;4813.13031058232;7893.45650283794;29472.8726966806;52204.1150532176;455741.824880903;466567.440010392;27785.4204538659;99510.7609828927;86795.7686847484;86793.7686902561;4786.03123060761;7930.96106202899;29976.4226087047;52605.4083429822;498880.128399727;468623.297699799;26038.2727826243;100814.756084377;83930.0508598508;83930.6338191439;6975.68391204142;9908.43835319209;29160.0920494578;50855.2943531971;506926.580149249;482476.321007953;22355.4596272557;NA;1127;9819;9534.49708576186;29.22352813;30.93969673;87;5;8;83;7;10;35;61;35;61;0;0;30;27;-10;NA
