"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Paris 1er Arrondissement";75101;9212.54964938096;5389.84628241182;1590.13011599826;628.946044051378;8425.16361916976;4696.43299795253;1708.8136636788;537.122516526738;92;112;121;50;61;60;32;56;69;59;17;7;56;20;6;-5;18;-14;32;20;116
"Paris 2e Arrondissement";75102;12699.5806042913;7578.61313346677;2376.76470731589;793.704245267741;13047.7557023543;7698.77571003025;2479.11788323436;743.564674340432;102;110;118;78;79;79;27;37;44;60;19;6;59;19;6;-2;0;0;16;1;63
"Paris 3e Arrondissement";75103;20052.7959865028;12150.1933640348;2804.38022292518;1572.01861886758;19297.163989367;11687.7776576849;2865.64254791965;1255.66897491518;131;133;124;71;54;43;33;34;38;61;14;8;61;15;7;0;7;-12;-5;-39;15
"Paris 4e Arrondissement";75104;14399.824655034;8531.99461081365;2013.87355874339;1301.65721832225;15122.8009943052;9578.66358290391;1942.70003455984;854.22999023149;110;125;104;29;30;30;15;25;34;59;14;9;63;13;6;7;-7;-33;-5;3;127
"Paris 5e Arrondissement";75105;28743.1317452342;17191.0414050326;3863.04469467676;3089.23834331221;27414.216783115;16318.599680986;3648.28742833342;2426.64210416375;253;290;236;28;42;33;25;36;24;60;13;11;60;13;9;0;0;-18;-7;18;-4
"Paris 6e Arrondissement";75106;19710.708273352;10751.2501377477;2624.24316253842;2653.11830582558;18250.1909489263;9983.85666679752;2654.67814304889;1899.12870842627;173;211;177;40;39;32;13;20;18;55;13;13;55;15;10;0;15;-23;2;-20;38
"Paris 7e Arrondissement";75107;26597.5229345455;13198.2921230369;3593.93597549482;5092.1110459913;24042.2885892916;11876.1087412862;3494.07617657361;3978.03646198828;233;241;213;39;51;47;34;42;44;50;14;19;49;15;17;-2;7;-11;-9;21;29
"Paris 8e Arrondissement";75108;19587.119762327;9298.90985547523;3570.42126686212;3382.94035443522;18475.6563035062;8768.7934030369;3620.21809085796;2600.5134793795;343;397;386;154;204;160;275;358;324;47;18;17;47;20;14;0;11;-18;13;4;18
"Paris 9e Arrondissement";75109;32745.3522401075;19594.5883738229;5085.5357106166;2687.87868039117;33990.5462721037;19233.3164570918;6478.87465299103;2122.24750885042;266;251;250;98;97;80;97;87;50;60;16;8;57;19;6;-5;19;-25;-6;-18;-48
"Paris 10e Arrondissement";75110;49467.8241379326;32796.6312481109;5377.85060833658;3341.1603370911;47417.726849703;30457.7456532207;6062.49002088826;2591.15184526646;265;308;263;108;126;101;167;203;195;66;11;7;64;13;5;-3;18;-29;-1;-6;17
"Paris 11e Arrondissement";75111;83070.6765050743;57413.6651138179;7180.62856007543;7009.93266460401;80451.8603493189;54454.875869707;7607.74441816302;5359.78286355254;451;587;505;139;172;153;148;185;190;69;9;8;68;9;7;-1;0;-12;12;10;28
"Paris 12e Arrondissement";75112;74158.3928019926;52303.9288956307;5182.1119205434;8399.57629780706;70941.0245914298;50470.9407838971;5425.74008227594;6740.21542939963;447;474;448;75;120;98;128;166;158;71;7;11;71;8;10;0;14;-9;0;31;23
"Paris 13e Arrondissement";75113;85878.8095792015;57546.100631733;8334.34445408255;10661.6956024253;85444.9034312335;58443.0725288359;8371.6006873988;9217.22027910536;444;523;488;85;97;86;95;117;98;67;10;12;68;10;11;1;0;-8;10;1;3
"Paris 14e Arrondissement";75114;66994.3278809116;44836.9668685013;5746.88076128347;8176.3502532379;64896.4154739129;43913.5973006569;5849.85842060653;6797.09102488519;442;490;484;74;109;71;108;113;131;67;9;12;68;9;10;1;0;-17;10;-4;21
"Paris 15e Arrondissement";75115;119019.491044347;76154.5673222437;10483.7008174598;18425.3671994074;114625.33323406;76129.0548485742;10847.3836112256;13954.8714702963;677;770;705;127;162;143;134;156;156;64;9;15;66;9;12;3;0;-20;4;13;16
"Paris 16e Arrondissement";75116;72060.0789932242;35678.4585041757;6451.29188013159;19042.8494611619;74629.2058463108;37575.0526121102;7091.57075357081;17453.3002150839;614;682;577;77;122;101;122;163;161;50;9;26;50;10;23;0;11;-12;-6;31;32
"Paris 17e Arrondissement";75117;85505.6104063192;50901.2555629717;9688.13402644737;13224.083542263;85527.4026162026;50362.4244482815;11002.9356889982;11387.8204680328;488;576;593;89;139;108;160;205;195;60;11;15;59;13;13;-2;18;-13;22;21;22
"Paris 18e Arrondissement";75118;100719.39403188;70341.8471739361;8702.24598383557;8967.92490490182;101706.820218193;70579.5082834139;9178.47745380928;7385.09775389425;459;496;466;114;168;145;177;215;256;70;9;9;69;9;7;-1;0;-22;2;27;45
"Paris 19e Arrondissement";75119;82293.6074834583;56216.2294441041;6126.44694876189;10649.2884379315;84005.0564691982;57151.1339288351;6577.46151144139;8875.8848508378;409;459;487;116;141;96;193;238;221;68;7;13;68;8;11;0;14;-15;19;-17;15
"Paris 20e Arrondissement";75120;91906.9302470118;65150.025405077;6062.04052700097;10176.892668411;93566.7754899278;65983.5534165455;6665.93616404987;8856.9159668993;484;518;442;108;157;95;290;337;270;71;7;11;71;7;9;0;0;-18;-9;-12;-7
