"LIB_MOD";"CODGEO";"MED15";"MED18";"TP6015";"TP6018";"TP60TOL118";"TP60TOL218";"SNHM19";"SNHMC19";"SNHMP19";"SNHME19";"SNHMO19";"MED15_18_%";"TP6015_18_%"
"Paris 1er Arrondissement";75101;31843;34350;11;10.9;6.1;13.2;28.7521623461467;39.2317957848891;19.7635496966771;12.9585731225694;12.5965171800838;8;-1
"Paris 2e Arrondissement";75102;30025;32700;15;13.6;7.7;17.1;27.9410981344774;36.352208342204;18.4792280942567;13.331645000473;11.6845643030869;9;-9
"Paris 3e Arrondissement";75103;30988;33060;13;12.7;7.1;16.5;28.4298214135581;36.8361266889669;18.7089217191143;13.9262872933569;11.93194494331;7;-2
"Paris 4e Arrondissement";75104;30515;31930;12;12.3;6.2;15.6;28.0213628657857;37.5785298490928;18.1290893871897;13.5281279698042;12.0671197400772;5;3
"Paris 5e Arrondissement";75105;32950;34250;11;10.7;5.1;14.4;28.5713413112413;37.6592156038562;17.8426986580319;12.7677015983252;12.333037564877;4;-3
"Paris 6e Arrondissement";75106;38448;40730;9;9.2;5;12.8;37.3638349054672;50.8858519424495;19.3568108691667;12.6679703102263;12.0128394086606;6;2
"Paris 7e Arrondissement";75107;41949;44490;8;7.9;5;11.1;42.7882752893735;59.5235401704704;19.8339721990776;13.254454731106;12.8048856490458;6;-1
"Paris 8e Arrondissement";75108;39774;43520;10;9;5;12.6;38.3704081409184;52.0628841062039;28.0847010667471;13.2875617017279;12.4312257717149;9;-10
"Paris 9e Arrondissement";75109;32771;35390;12;11.2;5.1;16.4;29.9146279998739;38.3888336021905;18.9468811019531;13.2095790626683;12.1015244411257;8;-7
"Paris 10e Arrondissement";75110;25154;27420;18;16.9;7.1;23.3;22.9177633800106;31.1353582526811;17.561801441564;12.5492689222713;11.3325670650133;9;-6
"Paris 11e Arrondissement";75111;26253;28530;16;14.4;6.5;19.4;22.5832715949941;29.623229365485;17.1412604943786;12.7757552468461;11.5448897838649;9;-10
"Paris 12e Arrondissement";75112;26729;28780;15;13.1;5;17.5;21.8322215662667;29.6877549474493;17.2701923838792;12.3521247253534;11.2645584791674;8;-13
"Paris 13e Arrondissement";75113;23538;24720;17;16;5.6;19.7;19.3655204484549;28.1029370396284;16.3848292422488;11.8050032866796;11.167300610869;5;-6
"Paris 14e Arrondissement";75114;27233;28340;13;12.8;5;16.9;22.6807718923332;30.8700074268256;16.9092186085263;12.2099349742906;11.2659117896117;4;-2
"Paris 15e Arrondissement";75115;30227;31760;12;11.5;5;15.4;25.7802913735914;33.6478742467544;17.5775863460412;12.7565366332391;11.774612069436;5;-4
"Paris 16e Arrondissement";75116;38299;40400;11;10.8;5;17.1;41.257743095719;54.8305751163643;42.0769577641359;13.0095340558054;12.1337703629017;5;-2
"Paris 17e Arrondissement";75117;29872;31940;14;13.9;5;19.5;28.9168390105361;38.9560427073966;18.8316067490726;12.8103860054176;11.5826775603894;7;-1
"Paris 18e Arrondissement";75118;20942;23160;23;21.2;7.8;27.7;20.1106368149549;28.8716231257983;16.7651045502205;11.9096174493297;10.9953094802736;11;-8
"Paris 19e Arrondissement";75119;19137;20900;25;23.3;8.2;28.7;17.4581514417843;26.7204053394426;16.2061172158548;11.5915516073546;10.7851850979473;9;-7
"Paris 20e Arrondissement";75120;20632;22100;22;20.9;6.3;25.9;18.2748770822496;26.6116067902234;16.4160019778263;11.9555286359044;11.1006184635788;7;-5
