CODGEO;LIBGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;CCMUC;NOTE_CNAM;A;APRES50;APRES100;APPA;ARSAS;AAAH;NOTE_CNAF
01004;Ambérieu-en-Bugey;56,8;19.446;12.402;27.108;24,5;6.512;35.708;19.756;14.340;25.954;15,8;10.546;33.377;71,8;27,3;6,5;-15,7;10,1;1.276;0;2959;677;357;651;348;247;0
01031;Bellignat;52,9;18.356;11.308;25.222;28,0;6.064;35.172;18.911;13.800;24.572;17,4;10.303;33.235;68,7;28,7;7,4;-14,7;9,9;279;0;748;168;97;184;82;58;0
01034;Belley;51,1;17.904;11.198;25.118;28,5;6.348;34.636;18.563;13.636;24.431;18,6;10.179;32.883;65,9;31,2;7,1;-15,3;11,1;579;0;1829;443;219;386;181;246;0
01053;Bourg-en-Bresse;52,8;17.652;10.218;25.702;31,3;4.914;35.766;18.180;13.212;24.529;20,1;9.586;33.594;66,0;32,9;7,8;-16,0;9,3;4.675;0;10022;2.828;1.571;2.270;1.354;1.098;0
01160;Ferney-Voltaire;46,9;23.887;8.580;45.393;31,6;154;68.248;25.135;13.059;44.865;22,4;6.680;65.117;82,7;21,3;2,3;-16,7;10,4;360;0;905;232;143;158;137;58;0
01262;Montluel;59,1;20.102;13.312;28.756;21,3;8.150;38.366;20.350;15.166;27.625;12,2;11.586;35.872;78,5;22,5;5,7;-15,6;8,9;329;0;1291;219;116;239;104;70;0
01283;Oyonnax;46,5;15.500;9.096;22.648;37,0;4.868;31.500;16.654;12.171;22.034;25,2;9.210;29.547;68,3;28,3;8,8;-14,5;9,1;2.476;0;4899;1.272;684;1.044;682;436;0
01354;Saint-Genis-Pouilly;45,6;26.274;10.996;48.158;27,1;414;69.204;28.031;15.391;47.265;16,8;8.428;66.903;86,9;17,9;2,4;-15,6;8,4;416;0;1042;207;100;178;107;55;0
02168;Château-Thierry;50,0;16.792;9.628;24.260;33,2;4.294;33.792;17.565;12.598;23.293;23,1;9.196;31.347;68,0;30,1;8,9;-15,4;8,4;1.833;0;3640;1.161;632;1.002;656;366;0
02173;Chauny;43,4;15.328;8.083;22.550;39,4;1.830;31.246;16.409;11.777;22.037;27,6;8.610;29.452;61,7;33,2;10,9;-13,4;7,6;2.074;0;3025;1.116;670;704;683;353;0
02304;La Fère;35,3;11.522;5.458;19.278;52,7;1.026;27.786;14.048;10.272;19.200;37,2;8.171;26.277;62,9;26,9;16,3;-12,5;6,4;689;0;887;392;236;216;229;156;0
02381;Hirson;35,8;13.498;5.874;20.324;45,4;560;28.212;15.129;10.679;20.365;33,2;8.105;26.811;53,2;35,6;14,3;-11,3;8,2;1.932;0;2245;1.047;677;540;660;326;0
