"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Paris 1er Arrondissement";75101;17440;17022;16093;16605.9402659571;9434.51651854468;1033.71768074761;16901.9102403565;14760.239195144;0;310.347543817647;15968.7024689554;13898.7334147612;0;307.701300825929;87;87;0;0;2;2;-2;-5;-8;0;NA;0
"Paris 2e Arrondissement";75102;21793;21741;21420;20658.8409586154;11009.4405429118;1393.80728917564;21457.6499429489;17971.7384161228;0;563.466127152542;21197.0520515037;17783.2756346911;0;509.881860718371;84;84;0;0;3;2;0;-1;-2;0;NA;-33
"Paris 3e Arrondissement";75103;34824;35666;34020;33111.0767378216;18771.3216007103;1972.65013944486;35261.8175664029;30341.2582616939;0;577.636255098552;33739.1450133536;28914.5437745324;0;628.747084674928;86;86;0;0;2;2;2;-5;-2;0;NA;0
"Paris 4e Arrondissement";75104;27977;27335;28763;26826.1431521845;15779.4592500258;1784.86933495904;27088.4995994742;23334.8230767852;0;453.107119841366;28465.4783680718;24542.3878971664;0;471.546500026673;86;86;0;0;2;2;-2;5;3;0;NA;0
"Paris 5e Arrondissement";75105;62143;60273;58379;59653.3021266702;33477.6426430278;4553.12213912864;59855.8490991664;50318.1697515012;0;1476.65973957159;57982.7728863555;49210.6662708917;0;1695.20017426883;84;85;0;0;2;3;-3;-3;-6;1;NA;50
"Paris 6e Arrondissement";75106;44322;43479;40525;42570.3629639043;25161.4592408875;2920.76752202483;43135.3779419646;36483.3371873794;0;957.056373601346;40259.4431426899;34031.799239766;0;1203.93444529479;85;85;0;0;2;3;-2;-7;-9;0;NA;50
"Paris 7e Arrondissement";75107;57081.9999999999;56325;50196;54676.4514896474;32376.2565840155;2827.99008089583;55802.4837264289;47549.919863171;0;1040.49886348165;49794.2684442461;42754.1273749281;0;982.71630155826;85;86;0;0;2;2;-1;-11;-12;1;NA;0
"Paris 8e Arrondissement";75108;38702;39175;36222;36612.8918320157;21011.3983398257;2544.90420699178;38816.1594785345;33540.1155267123;0;878.007292972542;35897.1576012672;30851.728284024;0;802.955013561249;86;86;0;0;2;2;1;-8;-6;0;NA;0
"Paris 9e Arrondissement";75109;59157;59427;59835;55879.4183806941;31302.109018899;3757.74621399239;58630.5188700736;50481.9112104243;0;1172.98295313137;59081.3447996046;50500.6466519593;0;1319.56213496346;86;85;0;0;2;2;0;1;1;-1;NA;0
"Paris 10e Arrondissement";75110;94321;92494;88557;88439.6791307228;50205.2752725712;5837.6599867664;91230.0452853783;77978.3536818523;0;1950.63177236029;87622.2184252306;76157.3174868179;0;1673.55572218655;85;87;0;0;2;2;-2;-4;-6;2;NA;0
"Paris 11e Arrondissement";75111;152672;153461;145903;144800.130114657;82828.7720332352;10715.9748840435;151658.778117521;130401.049404922;0;3575.00198935829;144228.655521615;124833.053880186;0;3251.17504923981;86;87;0;0;2;2;1;-5;-4;1;NA;0
"Paris 12e Arrondissement";75112;142673;144719;139665;135477.356342571;82962.0175666555;11202.2424308474;142978.132877332;124953.169586805;0;3676.06537326301;138264.452528114;121474.024308778;0;3433.3974122636;87;88;0;0;3;2;1;-3;-2;1;NA;-33
"Paris 13e Arrondissement";75113;179500;183713;180632;170430.940934013;108177.3344745;12291.6212546619;181689.742992534;161033.866226325;0;4219.93744639311;178854.670458589;158018.886409229;0;4281.10367092261;89;88;0;0;2;2;2;-2;1;-1;NA;0
"Paris 14e Arrondissement";75114;136464;140799;136596;130305.640829578;75319.8483374942;10033.6631352689;139206.515578762;118291.710301185;0;3658.98047869048;135270.019579192;116163.371709019;0;3540.02867952311;85;86;0;0;3;3;3;-3;0;1;NA;0
"Paris 15e Arrondissement";75115;234091;237120;232144;222373.271008898;126286.834973347;16385.8668555749;234482.327091757;202168.737868301;0;5671.03154089902;229591.904619877;198852.920828527;0;5571.06439971978;86;87;0;0;2;2;1;-2;-1;1;NA;0
"Paris 16e Arrondissement";75116;165074;166552;166014;157259.135559859;95822.5552318411;11127.3184382981;165182.100764133;144918.207890144;0;3319.64628266874;164605.572705213;143185.611569598;0;3900.37581067539;88;87;0;0;2;2;1;0;1;-1;NA;0
"Paris 17e Arrondissement";75117;167070;170077;165859;157584.483081915;89289.4194689544;12762.0901861672;167835.418436097;145551.689415068;0;4074.42485101935;163835.695744743;140918.641503855;0;4121.13013653503;87;86;0;0;2;3;2;-2;-1;-1;NA;50
"Paris 18e Arrondissement";75118;196000;199519;193665;183972.467319834;109324.499221318;12573.8948510972;196837.894334726;171713.687510275;0;4375.33671982093;191400.408050208;167622.755398037;0;4054.51121689862;87;88;0;0;2;2;2;-3;-1;1;NA;0
