"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Paris";75056;2211297;2229621;2175601;2092186.29812169;1251511.01373662;147764.592870087;2203780.74205327;1920943.76875288;0;48524.6827998959;2152507.16380576;1879472.75404778;0;48465.544119118;87;87;0;0;2;2;1;-2;-2;0;NA;0
"Antony";92002;61240;61727;62858;57519.9036470231;38862.0196916891;5940.37915008165;60887.5022902336;54916.8181681741;1026.11088496355;2011.06695558616;62062.3096955943;55604.1815289474;819.250487773365;2153.26352073241;90;90;2;1;3;3;1;2;3;0;-50;0
"Asnières-sur-Seine";92004;81666;86020;85946;74638.7554800168;45236.5742395649;9201.60095877538;84427.3813469582;75294.7848328222;1787.89915032898;3053.68272291198;84541.1427814032;75298.5807901768;1812.24813909842;2966.02588256145;89;89;2;2;4;4;5;0;5;0;0;0
"Bagneux";92007;38509;38520;40812;35469.0953137675;24987.7553195939;3437.80056478815;37955.3147466705;34139.5709408612;785.912397105244;1128.10950986404;40072.6949321525;36211.5320613376;721.389236002575;1176.96413482614;90;90;2;2;3;3;0;6;6;0;0;0
"Bois-Colombes";92009;27809;28561;28468;25693.3094624937;15903.9425089822;2537.6239301429;28094.3241375348;25129.8157543253;970.239007909956;830.432663748316;28159.3604422634;24876.9690396157;1020.33555519692;939.481074451409;89;88;3;4;3;3;3;0;2;-1;33;0
"Boulogne-Billancourt";92012;112233;116794;121334;105125.171146426;63072.5055510194;14135.953010438;115095.727655643;100308.976023282;1514.60273348918;5119.92557571978;119754.115314227;104419.596067257;1746.07169722122;4889.6709573609;87;87;1;1;4;4;4;4;8;0;0;0
"Bourg-la-Reine";92014;20015;19712;20769;18762.9355855683;11690.1360582334;2468.83793047127;19466.8037688253;17258.1272019961;403.078656620705;793.325267058701;20505.0596722333;18036.1793497323;527.276320469407;895.226766788793;89;88;2;3;4;4;-2;5;4;-1;50;0
"Châtenay-Malabry";92019;31854;32623;34170;29567.651059345;18101.4535818722;2941.72959048761;32120.5501730988;28703.7085073558;715.51057985867;988.308130975798;33648.6384648508;29763.404061008;1019.9290709545;939.850673534387;89;88;2;3;3;3;2;5;7;-1;50;0
"Châtillon";92020;32510;35964;37010;30078.5642092878;18179.2552003878;3601.90720372005;35370.7468549759;31211.5347308672;958.695678701345;1366.42820783072;36446.0349119631;32790.2712419075;961.440111641174;1036.39546146442;88;90;3;3;4;3;11;3;14;2;0;-25
"Chaville";92022;18126;19717;20702;16933.8560562079;10625.3023729945;2001.05102550565;19449.6708697238;17234.032961559;553.071236168098;586.658119302498;20418.1462141023;18110.5401091162;467.678849291598;676.738118234856;89;89;3;2;3;3;9;5;14;0;-33;0
