"LIB_MOD";"CODGEO";"ENCTOT20";"ENCTOT19";"ENCTOT18";"ETCGI19";"ETCGI18";"ETCGI20";"ETCTOT18";"ETCTOT19";"ETCTOT20";"ETCLZ18";"ETCLZ19";"ETCLZ20";"ETCGI18_%";"ETCGI19_%";"ETCGI20_%";"ETCLZ18_%";"ETCLZ19_%";"ETCLZ20_%";"Total_18_20_%";"ETCGI18_20_%";"ETCTOT18_20_%";"ETCLZ18_20_%"
"Paris 1er Arrondissement";75101;2102;1960;1682;515;441;591;1915;2245;2322;120;117;120;23;23;25;6;5;5;25;34;21;0
"Paris 2e Arrondissement";75102;1599;1805;1562;484;451;413;1842;2087;1860;80;88;79;24;23;22;4;4;4;2;-8;1;-1
"Paris 3e Arrondissement";75103;1432;1605;1560;414;433;396;1791;1856;1600;70;69;39;24;22;25;4;4;2;-8;-9;-11;-44
"Paris 4e Arrondissement";75104;1096;1172;1013;298;288;312;1141;1330;1252;48;54;52;25;22;25;4;4;4;8;8;10;8
"Paris 5e Arrondissement";75105;1648;1708;1529;344;322;426;1674;1874;1804;45;65;52;19;18;24;3;3;3;8;32;8;16
"Paris 6e Arrondissement";75106;1342;1515;1420;327;347;320;1613;1746;1556;68;102;91;22;19;21;4;6;6;-5;-8;-4;34
"Paris 7e Arrondissement";75107;1962;2137;1862;409;358;374;2086;2366;2162;87;123;128;17;17;17;4;5;6;5;4;4;47
"Paris 8e Arrondissement";75108;8302;8311;6931;1672;1364;2114;7662;9178;8925;635;716;585;18;18;24;8;8;7;20;55;16;-8
"Paris 9e Arrondissement";75109;2701;3001;3098;633;712;698;3533;3433;3094;132;150;140;20;18;23;4;4;5;-13;-2;-12;6
"Paris 10e Arrondissement";75110;3513;3885;3475;1032;987;1163;3791;4265;3848;68;90;71;26;24;30;2;2;2;1;18;2;4
"Paris 11e Arrondissement";75111;5148;5240;4732;1269;1212;1489;5132;5730;5635;116;151;136;24;22;26;2;3;2;9;23;10;17
"Paris 12e Arrondissement";75112;3974;3866;3428;1144;986;1393;3720;4209;4278;86;87;100;27;27;33;2;2;2;16;41;15;16
"Paris 13e Arrondissement";75113;3703;3747;3602;1022;1095;1241;3826;4042;4002;65;84;52;29;25;31;2;2;1;3;13;5;-20
"Paris 14e Arrondissement";75114;3834;3733;3296;1067;962;1336;3545;3993;4115;76;89;71;27;27;32;2;2;2;16;39;16;-7
"Paris 15e Arrondissement";75115;5543;5854;5146;1344;1294;1457;5617;6265;6006;145;186;182;23;21;24;3;3;3;8;13;7;26
"Paris 16e Arrondissement";75116;5792;6167;5479;1137;1082;1176;6020;6696;6316;415;448;494;18;17;19;7;7;8;6;9;5;19
"Paris 17e Arrondissement";75117;6358;5802;5009;1374;1231;1927;5433;6343;6866;227;274;294;23;22;28;4;4;4;27;57;26;30
"Paris 18e Arrondissement";75118;6116;5969;5323;1962;1848;2413;5657;6401;6566;87;113;102;33;31;37;2;2;2;15;31;16;17
"Paris 19e Arrondissement";75119;5746;5337;4697;2086;1750;2695;4972;5679;6110;69;89;65;35;37;44;1;2;1;22;54;23;-6
"Paris 20e Arrondissement";75120;4940;5365;4855;1935;1692;1915;5114;5752;5295;62;66;64;33;34;36;1;1;1;2;13;4;3
