"LIB_MOD";"CODE_COM";"APL_EHPA";"APL_SAPA"
"Paris 1er Arrondissement";75101;97041.52;988.18
"Paris 2e Arrondissement";75102;90512.87;931.32
"Paris 3e Arrondissement";75103;89303.57;917.31
"Paris 4e Arrondissement";75104;94806.92;973.84
"Paris 5e Arrondissement";75105;92485.91;958.98
"Paris 6e Arrondissement";75106;94525.88;961.26
"Paris 7e Arrondissement";75107;99548.53;981.51
"Paris 8e Arrondissement";75108;98554.87;995.8
"Paris 9e Arrondissement";75109;97273.82;963.08
"Paris 10e Arrondissement";75110;100795.64;970.77
"Paris 11e Arrondissement";75111;96727.31;953.88
"Paris 12e Arrondissement";75112;94446.45;955.42
"Paris 13e Arrondissement";75113;100229.68;985.29
"Paris 14e Arrondissement";75114;98697.44;973.11
"Paris 15e Arrondissement";75115;94084.11;958.44
"Paris 16e Arrondissement";75116;107240.95;1015.62
"Paris 17e Arrondissement";75117;97175.11;974.1
"Paris 18e Arrondissement";75118;99784.55;971.66
"Paris 19e Arrondissement";75119;94698.74;931.35
"Paris 20e Arrondissement";75120;97902.72;921.7
