CODE_COM;APL_EHPA;APL_RA;APL_SAPA
27201;78293.02;1373.9;1486.87
27206;96758.7;1049.41;1312.22
27207;104704.21;1243.27;1833.31
27209;59229.14;880.35;892.47
27211;63689.33;1261.39;1059.85
27215;84832.39;1374.16;1540.13
27216;64583.29;844.33;1053.21
27221;76175.11;692.34;575.58
27222;71631.88;662.24;1865.65
27223;56217.59;835.74;709.33
27224;106061.59;1589.34;1931.55
27225;81602.33;907.43;1325.68
27226;65098.12;1496.9;769.03
27227;74243.76;891.42;582.17
27228;61790.07;975.98;582.17
27230;72232.01;304.93;408.99
27237;91270.22;1201.52;1924.04
27241;66698.82;1024.48;1161.72
27242;83059.03;1079.24;1242.75
27243;92134.29;1767.29;2137.7
27244;57089.77;1167.03;774.92
27259;77862.0;1111.19;1295.4
27260;69821.37;561.37;502.07
27261;68262.53;1041.0;762.34
27262;28867.64;460.71;520.83
27265;81698.5;1007.34;1270.83
27268;83366.93;974.91;1202.9
27269;65648.9;1243.27;1730.36
27270;73584.8;750.73;652.07
27271;78124.73;1111.19;1170.32
27273;71131.62;1272.81;1343.21
27278;61708.33;225.68;330.83
27281;56233.95;709.87;982.51
27282;79966.77;678.16;997.92
27286;94383.64;1449.29;2035.09
27289;81931.92;452.02;595.25
27291;71061.12;797.19;1312.27
27292;68453.67;759.82;613.0
27293;94247.42;907.43;1379.66
27295;73282.82;338.81;1462.43
27298;97514.65;1248.11;1492.85
27300;52034.52;311.88;254.71
27302;84905.65;994.85;840.69
27304;55163.89;1017.96;628.07
27311;100987.91;794.72;923.94
27317;53612.63;801.76;437.66
27320;95990.8;1197.81;889.89
27329;49317.55;897.12;574.31
27330;66434.17;1179.88;630.99
27333;51981.81;1236.51;692.36
27335;79533.0;1859.54;1408.86
27336;83963.46;1526.46;1704.01
27337;55617.04;826.14;565.56
27338;64572.01;639.47;265.2
27343;74340.88;1504.15;1577.09
27348;104704.65;2384.37;1371.04
27351;99861.27;2979.05;2316.39
27355;73411.5;304.93;421.97
27356;71583.26;482.19;606.34
27360;89685.68;879.41;1195.46
27361;75690.62;1183.91;1363.04
27365;82799.37;1947.02;1519.33
27373;55966.24;478.94;441.22
27375;95708.31;2177.7;1564.96
27378;99765.44;839.26;1174.71
27381;71427.05;338.81;1348.05
27383;96795.97;1086.59;1546.6
27386;78775.78;1661.19;1324.95
27388;51464.85;715.34;618.76
27389;84632.98;1426.95;1492.85
27402;81829.6;974.91;1157.64
27405;42837.28;987.09;567.81
27411;92366.98;1049.41;1378.7
27414;98741.39;1051.64;2349.42
27417;60511.95;1345.7;565.11
27418;99064.9;1449.29;1942.17
27427;99692.87;1197.55;1144.25
27428;102333.87;1677.08;1969.98
27429;71021.57;1274.93;1290.07
27431;95122.89;1197.55;1144.25
27432;90046.42;1156.37;1270.53
27434;82592.64;1243.27;1775.62
