"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Paris 1er Arrondissement";75101;7591.94164525165;3384.34824513475;504.307692282501;2973.12012375602;488.882502546911;7110.99407890625;3271.63557572878;366.343493868422;2735.21992000525;439.776195500733;6243.39107088122;2790.79628408435;326.273407798444;2472.03484476648;361.859361395686;84;13;84;11;84;11;0;0
"Paris 2e Arrondissement";75102;10451.823953071;4750.28361613717;675.719760246873;3934.93281291712;629.283212789145;10297.2638427399;4653.51964164982;587.337626125257;3882.62159032732;629.4355559647;10093.2304772575;4538.35760530695;423.72861346768;4069.05176864942;505.80083935917;83;12;83;12;85;9;2;-25
"Paris 3e Arrondissement";75103;15792.3311582321;6824.44456734741;1009.24791344924;6170.40856430307;1240.49975418479;15203.2275111006;6639.85770823639;885.960710923619;6003.25135138435;1046.02163923136;14476.648824608;6223.52951731011;692.919673509309;6041.35393747674;845.730117164181;82;14;83;13;85;11;2;-15
"Paris 4e Arrondissement";75104;11494.9326296475;4716.25644388628;678.724608107204;4781.81418689469;845.102746076344;11028.6127222139;4614.96103233436;699.233328724172;4358.79796011681;810.907129437705;11384.9559609101;4566.79274746891;582.159208658109;4726.180488604;801.088617224405;83;13;81;14;82;12;1;-14
"Paris 5e Arrondissement";75105;24509.9853813696;9675.98278798189;1499.2686836663;10140.9385405166;2090.52103256639;23031.050450122;8972.01319604387;1397.3367324766;9286.45618082263;2001.85135077395;21515.8819775538;8194.18464314623;1195.6537053701;9019.55036462132;1521.92032200795;81;15;79;15;80;13;1;-13
"Paris 6e Arrondissement";75106;15025.6710017199;5837.21528522733;754.133957652857;6621.39080384056;1106.44582569369;14242.1952365082;5546.23725664648;722.431045633863;6068.23378795667;1050.32339256994;12888.3420542424;4939.77014037089;606.80180206688;5750.68867521621;856.637165678831;83;12;82;12;83;11;1;-8
"Paris 7e Arrondissement";75107;20257.9661586281;8196.58752118021;942.478709443299;8793.48282316685;1356.20283058454;19668.3866894415;7829.62240793371;976.736181085947;8346.34421645057;1250.92182432462;17253.8054191817;6768.46843715505;771.635018989259;7663.85203873664;990.629450395675;84;11;82;11;84;10;2;-9
"Paris 8e Arrondissement";75108;14161.972806485;6001.86571222303;575.237968600211;6381.0222500693;668.575488331628;14764.9947385951;6108.18686060048;523.853845631877;6522.19365472413;886.85726619981;13722.7131760514;5699.08294018698;395.10105881558;6221.71506546484;667.564724806253;87;9;86;10;87;8;1;-20
"Paris 9e Arrondissement";75109;26167.1053957779;10862.1083015332;1377.14787514337;11151.0499685762;1692.95945048493;25999.0903341448;10584.3726159657;1291.73918198924;11230.3147629199;1715.75980529163;26585.2464465759;11092.2112765976;1105.61837001705;11640.998789793;1497.65351184327;84;12;84;12;86;10;2;-17
"Paris 10e Arrondissement";75110;42902.1316769111;18331.0454734607;3118.17224743988;16600.3282964911;3144.26773832455;40802.6297167328;16965.9627893397;2838.02280018455;15917.8496183405;3189.44586109833;38483.816184166;16745.1745465779;2060.3523465136;15498.539966459;2591.3616087146;81;15;81;15;84;12;4;-20
