"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Paris";75056;933023.893728158;381208.822374053;50535.2102802862;399824.188209519;61731.5437697905;917664.527149604;369829.757575991;47823.2833296133;393206.960861808;62010.6825786247;894759.953326484;363481.248271093;42097.1250305597;387361.71438183;56246.634430411;84;12;83;12;84;11;1;-8
"Antony";92002;25053.1735105993;10950.6057944147;882.290933632219;11035.4644197549;1125.87463430763;25409.1333115062;11140.0739214292;1002.87448147389;11167.0488240145;1160.1825085465;26166.0741694612;11612.0567997747;976.890542433743;11563.1320471714;1126.77990183658;88;8;88;9;89;8;1;-11
"Asnières-sur-Seine";92004;35986.7886076106;15728.1909738104;1037.49289446245;16180.7622010706;1669.95540650386;37292.8926607469;16361.0740041888;1034.04867354029;16883.0861906906;1511.16645846071;37136.7998266842;15876.8921947047;1327.57410161614;16689.693672679;1558.79442663456;89;8;89;7;88;8;-1;14
"Bagneux";92007;16168.6473321333;6782.82593972929;542.860425952353;7399.12822020056;697.951706092141;15521.7599024561;6553.44065084837;492.249794914083;6955.88390050983;848.039595449468;16406.7985301881;6771.32447495382;666.116390402097;7005.81455984963;1035.57814686866;88;8;87;9;84;10;-3;11
"Bois-Colombes";92009;12108.6605150866;5139.59461544533;362.434126310327;5586.76535278315;523.641900026673;12056.8115354957;5002.21961650192;350.351552554272;5819.18144287438;450.723888906662;12232.0908147422;5194.20591255181;346.756205963102;5753.50485276607;529.08895460704;89;7;90;7;89;7;-1;0
"Boulogne-Billancourt";92012;47397.8450984683;19954.482723098;1694.1916768715;21859.2067691783;2332.06713373841;49896.8769290835;20992.8635513386;1721.65682403024;22779.7849197614;2376.20660114671;51507.6132137741;21519.007501597;1686.42905472757;23681.5834533957;2460.91121777489;88;8;88;8;88;8;0;0
"Bourg-la-Reine";92014;8472.10066467483;3671.65817706725;251.943027699365;3812.19544114489;459.729607264851;8031.31641336336;3414.02564456299;294.304505756035;3561.62980055317;381.64705069538;8637.70395317899;3741.33834889903;366.76304842613;3817.05047779186;420.919394264188;88;8;87;8;88;9;1;12
"Châtenay-Malabry";92019;13000.0213031227;5616.23977142695;498.087910039141;5740.96824055692;641.780195121547;13005.3992524121;5560.28998035482;518.808275900631;5760.06022228557;729.044922710672;13841.2945664895;5983.94853785578;463.104421871179;6111.46611235378;597.705277545574;87;9;87;10;87;8;0;-20
"Châtillon";92020;15550.6525706687;6880.92275358054;352.181105054485;7195.5244591693;651.727311453169;16968.1385742925;7286.23533716679;493.951323821341;7935.37921276055;569.084902369135;16588.6321084968;7142.4697959391;427.99681595626;7738.19472483485;672.387175014494;91;6;90;6;90;7;0;17
"Chaville";92022;8247.77372130965;3739.70439513499;232.778231971788;3694.58706514586;289.551874416442;8641.2393769887;3883.94777909153;343.250159927861;3667.91644635475;345.067275804255;9074.34929609675;4111.39051749546;216.835276542366;4014.5217240441;366.675587395637;90;6;87;8;90;6;3;-25
"Clamart";92023;21314.4207084263;9067.43047939768;699.788965088495;9761.2186299075;1004.12601151449;21435.8568331988;8865.73403392457;832.750733348077;9885.0351097288;1043.76830512562;21616.3222019108;8999.49152144979;727.693511931987;9953.27198236926;1132.07073695136;88;8;87;9;88;9;1;0
"Clichy";92024;26402.8421399037;11507.4623438998;1236.92804518818;11175.6960134319;1299.64614202716;26337.0638411606;11102.0042507276;1193.27524508767;11330.4333945216;1537.82772565332;27311.3492409795;11656.447042422;1089.98147885334;11753.9875378261;1380.01763260129;86;10;85;10;86;9;1;-10
"Colombes";92025;34160.0658818322;14514.7438890892;1173.94832653548;15402.1994102288;1704.08587476761;33646.0753416055;14236.9107273141;1085.19664397248;15195.1635486255;1676.58726225103;34107.885572814;14374.2321310507;1134.88019065968;15694.9796681292;1444.1791888808;88;8;87;8;88;8;1;0
"Courbevoie";92026;40659.3124267011;18307.1154943239;955.388082635803;18619.7845374397;1348.48525878983;38810.8801190974;17430.3854753046;936.082526430638;17521.4529271289;1387.07430825529;37120.824185659;16325.4019455637;932.518096715119;17201.4474075494;1238.58314328891;91;6;90;6;90;6;0;0
"Fontenay-aux-Roses";92032;10422.5547448151;4441.59364233457;329.001114790934;4724.26672183727;463.174987399935;9363.3966009964;3831.40081916722;290.874240983159;4435.79585358411;441.37003608769;9947.68989810314;4131.67379418359;286.731534637932;4625.51057895272;496.147515015006;88;8;88;8;88;8;0;0
"Garches";92033;6924.08624232663;3059.51706521379;165.769028490019;3245.86402670487;294.194183591217;6764.12341513612;2930.48310691215;164.419323207048;3246.45201930096;221.482381538085;6664.61588384164;2865.45820608533;166.337293223065;3176.04477507113;204.077930808317;91;7;91;6;91;6;0;0
"La Garenne-Colombes";92035;12520.7130861254;5503.45507138121;350.301250562355;5750.89984222594;420.876664276426;13134.9434556223;5666.55965097569;339.027466896679;6167.19721532595;491.563367726424;13553.6656990274;5910.5830661037;425.409632776097;6297.8601772151;485.66467849315;90;6;90;6;90;7;0;17
"Gennevilliers";92036;15388.3098848649;6497.52569225736;719.888590710895;6409.64821134762;917.333208049885;15124.1285208305;6527.10323313544;820.724478527682;6013.18428216636;826.45211553458;16861.723208409;7265.9464067633;776.992060476443;6984.95250502926;1004.65476075651;84;11;83;11;85;11;2;0
"Issy-les-Moulineaux";92040;30449.361881627;13486.1627418133;911.508599598214;13843.8546823294;1272.47938568442;30735.6569763488;13505.0590325442;887.288155242622;14000.4125793558;1383.17981648912;31792.339516171;13942.7626795663;995.665060624621;14389.8372043121;1326.84115586993;90;7;89;7;89;7;0;0
"Levallois-Perret";92044;28459.0679250346;12312.9583709459;815.332993650555;13187.0227285234;1204.34985751655;28139.4632631282;11964.4993224485;680.989252994755;13368.1735875507;1101.68435950277;28618.0807617049;11843.2391613807;699.546658231719;13901.6735988352;1031.12941802675;90;7;90;6;90;6;0;0
"Malakoff";92046;13863.1843523631;5653.97023067008;687.182832598281;6095.49355949308;840.515828391392;13446.7467252436;5449.1953787669;651.451474798764;5918.65955280891;811.98541955868;13065.8805926373;5474.92249944401;562.477938875741;5727.41878816444;799.340793448177;85;11;85;11;86;10;1;-9
"Marnes-la-Coquette";92047;514.147097424023;242.791684894678;16.3221300769531;222.389022298486;20.4026625961914;502.530542720497;226.478569329154;9.55605777760145;224.567357773634;25.6832596181843;613.590281827018;293.393974732751;12.401166180758;262.324198250729;34.1032069970846;90;7;90;7;91;8;1;14
"Meudon";92048;18009.8034513798;7966.52222118616;620.355762803387;8040.74572953666;787.290892512997;18343.4175620156;8166.84095441515;464.446165428796;8347.98689177481;795.292066120522;18071.4890924951;7750.89284406736;593.487576401039;8245.51546827533;820.77655473237;89;8;90;7;89;8;-1;14
"Montrouge";92049;22469.2831914218;9675.47977307323;738.898470758179;10008.423228595;1207.20725393892;23330.1226330102;9796.68258009012;851.790108057005;10595.3798456473;1205.91016147529;22556.7638816714;9509.68088931158;916.258195556796;9989.27872409066;1117.7241647747;88;9;87;9;86;9;-1;0
