"LIB_MOD";"CODGEO";"C08_POP15P";"P08_ACT1564";"P08_CHOM1564";"C08_POP15P_CS1";"C08_POP15P_CS2";"C08_POP15P_CS3";"C08_POP15P_CS4";"C08_POP15P_CS5";"C08_POP15P_CS6";"C08_POP15P_CS7";"C08_POP15P_CS8";"C13_POP15P";"P13_ACT1564";"P13_CHOM1564";"C13_POP15P_CS1";"C13_POP15P_CS2";"C13_POP15P_CS3";"C13_POP15P_CS4";"C13_POP15P_CS5";"C13_POP15P_CS6";"C13_POP15P_CS7";"C13_POP15P_CS8";"C18_POP15P";"P18_ACT1564";"P18_CHOM1564";"C18_POP15P_CS1";"C18_POP15P_CS2";"C18_POP15P_CS3";"C18_POP15P_CS4";"C18_POP15P_CS5";"C18_POP15P_CS6";"C18_POP15P_CS7";"C18_POP15P_CS8";"Cadres_2008_%";"Cadres_2013_%";"Cadres_2018_%";"Aturats_2008_%";"Aturats_2013_%";"Aturats_2018_%";"Cad_13_18_%";"At_13_18_%";"CHOM_08_%";"CHOM_13_%";"CHOM_18_%";"CHOM_13_18_%"
"Paris";75056;1893442.55747638;1201993.51600251;131504.308867435;624.649710524585;58779.4076002019;513026.882777005;284893.567291383;255391.050865991;98003.6498099658;338823.471574993;343899.87784632;1909772.08184733;1210068.46678213;143934.903526649;417.648543554242;64512.2282810918;539603.365859549;285246.985668395;246592.360988055;89737.3836368684;349616.055139932;334046.053729883;1879000.12206065;1181628.47652146;135762.166188648;434.001086070701;68620.7071341538;558283.345656423;270165.494115562;227209.436648403;78695.3554723636;346548.789382065;329042.992565614;27;28;30;18;17;18;7;6;11;12;11;-8
"Antony";92002;50087.1683186267;29421.8132873616;2360.93057908503;7.89018510086409;953.845852081184;11591.5867161366;7725.65334048613;6538.18128162793;2546.09062190541;11054.7317624388;9669.18855884979;50337.9829161975;30275.2227630192;2728.60329110086;5.85549201303363;1033.07524781063;12937.0577519865;7839.97871790649;6135.25586580603;2367.61287450131;11619.2928255008;8399.8541406726;51138.6060813543;31308.3592946523;2749.66073132726;10.3369361947995;1236.98654249854;14658.1514947869;7616.22398121742;5744.41175297469;2261.18345158243;11667.9799477983;7943.33197430124;23;26;29;19;17;16;13;-5;8;9;9;0
"Asnières-sur-Seine";92004;64655.255666139;44171.3432031862;5015.81167547364;7.95100317329914;1746.80910284875;13780.8202621201;11011.2312649169;11922.2783006233;5502.53428480177;10749.324470959;9934.30697669576;68233.9753098651;45883.3650981792;5102.51768244725;17.4336958878184;2097.34174053324;16355.7401244661;11856.8936891103;10628.9218725824;4919.2108678118;10921.7198114736;11436.7135079997;68836.4530555966;46048.5259254464;5065.86106696116;14.8200620922843;2343.4960808277;17766.9212750355;11161.8569740852;10537.117884497;4406.47949113365;11206.1523973327;11399.6088905925;21;24;26;15;17;17;10;0;11;11;11;0
"Bagneux";92007;30528.3987133109;19702.1396565896;2674.26791403409;0;664.007002745518;2938.96744713595;5230.24923697006;7255.24026539637;3429.71845720197;5684.02338528076;5326.19291858024;30634.3009637044;19720.9893119645;3278.52043620061;7.80025123273308;748.512086887209;3490.46804233896;4985.37124948878;6980.74471449653;3268.70008221776;5989.03214191998;5163.67239512242;32220.1294344685;20771.0639757181;3233.44077476384;0;744.977805847511;4213.69648619054;5191.78482400536;7147.2150216694;3107.00931687818;5591.3493469832;6224.09663289433;10;11;13;17;17;19;20;12;14;17;16;-6
"Bois-Colombes";92009;22199.2191573385;14564.3514674471;1378.33603488832;8.38666290631248;646.393042441499;4780.35449213851;4073.86937761553;3493.02659053544;1572.08123086933;4281.58008650405;3343.52767432787;22663.5444445435;15013.3414450757;1553.631485482;0;791.714562489342;5798.84351004795;3793.52070019792;3318.08699875935;1312.18577384353;4521.97538435319;3127.21751485219;22945.2425148039;14945.9853889727;1415.57883544578;7.3844699177771;750.818171754583;6247.13911763554;3896.3242175012;2903.10821506866;1230.91461025568;4181.5106793986;3728.04303327188;22;26;27;15;14;16;5;13;9;10;9;-10
"Boulogne-Billancourt";92012;93032.5996026366;59153.1113373113;5500.26045460682;97.7149734467754;3097.66876896911;25863.5746584015;14411.8729062606;12299.0187218626;3844.22713291382;19251.9094594603;14166.6129813219;96698.2486653332;63075.9708826746;5921.69930327516;19.149271635015;3711.25721485309;29636.9483751461;15088.6320693354;11913.0568413041;3608.94176161625;18690.0553856439;14030.2077457993;101030.910817525;65707.6041212073;6025.48495294468;12.5864122986558;4281.81786884502;33151.1869565323;15060.9656660244;11097.4238982076;3133.03382205593;19287.2272759524;15006.6689176093;28;31;33;15;15;15;7;0;9;9;9;0
"Bourg-la-Reine";92014;16502.1519790694;9975.58415699024;771.596187215439;0;315.884213191213;4811.3924825371;2484.26876922415;1832.86530000884;587.389724510669;3629.88349569789;2840.46799389949;16257.5948921386;9569.48908945851;896.31887092157;7.02076268446645;360.262857245322;4655.41749383786;2199.19711928457;1789.39996497541;614.273462890476;3909.86478934374;2722.15844187681;17046.2642182059;10359.5561503789;899.651426575144;2.99580341789603;355.086402189994;5260.16879538594;2420.36199742692;1769.99228845651;650.865027162274;3643.07073141437;2943.723172752;29;29;31;17;17;17;7;0;8;9;9;0
"Châtenay-Malabry";92019;25852.7419594453;15378.134044267;1372.05800853304;6.92479493809835;473.911996288152;4323.29103001229;4197.96227401398;4454.07366136365;1850.64968044143;4860.50607250575;5685.4224498819;26185.633400059;15854.774249912;1746.88446169164;0;547.569065764158;4850.93051886044;4395.72186988169;4157.53357504448;1904.35347627241;4994.22113420777;5335.30376002801;27767.4661613043;16937.7918114826;1982.00557892794;0;745.22451892502;5556.96188329447;4559.64567939481;4281.09392258868;1930.16048374886;5285.61566195153;5408.76401140094;17;19;20;22;20;19;6;-5;9;11;12;9
"Châtillon";92020;26334.544547559;18007.3944962545;1314.76195811803;5.41810547403046;674.577317246348;6514.40129947194;5177.03124197885;4152.46948257875;1502.95616953565;4951.7383160636;3355.9526152098;29059.5537312138;20263.8548832431;1777.03733450939;1.06367675680245;893.718747780847;7527.73280807738;5681.02579847262;4592.83881596511;1583.36474236701;5099.63895439575;3680.17018739827;30004.6654439205;19978.1555684345;1860.83577519353;0;792.21937750429;8455.02667329483;5401.27362413087;3975.03489250972;1262.31739513672;5689.12890599055;4429.66457535351;25;26;28;13;13;15;8;15;7;9;9;0
"Chaville";92022;14711.261605036;9436.79410060511;598.405102530769;0.995026875215642;341.014325356498;3815.55775118947;2619.7295225012;1931.25451841366;746.084407483325;3249.45085967343;2007.17519354324;16044.0572278655;10160.2567916449;708.262560801115;4.83311109138136;442.908445382109;4231.67910902495;2689.66755108743;2041.69428604684;812.638166485207;3642.76923764736;2177.86732110022;16813.0775056261;10949.9337946922;897.999324022608;0;474.015165900451;5010.33291970355;2705.3762868665;2170.7963792676;603.419682216794;3349.25771130648;2499.87936036472;26;26;30;14;14;15;15;7;6;7;8;14
"Clamart";92023;41701.6343714256;25703.7559188186;2240.0179046066;12.1297438645522;1393.21053476684;8056.22195308372;6982.21031030073;6625.07128185266;2738.59464136766;9477.77971205514;6416.4161941343;42248.1989517509;26320.6210201596;2726.56711287538;2.9991741648604;1315.17951925325;8492.36275739573;7101.38845425887;6595.50266969196;2884.26208838166;9759.82795638719;6096.67633221737;42828.681864574;26776.5662746179;2774.1821457262;0.997659177789486;1511.5384212538;9273.96309199458;7158.55376204612;6496.01718688083;2444.97699287858;9458.332713275;6484.30203706726;19;20;22;15;14;15;11;7;9;10;10;0
"Clichy";92024;47415.991169943;32567.9718059212;4433.25058360475;3.96659384894157;1202.52577544308;6910.05013090426;8286.1649100466;10539.5966758367;5277.39085184304;7412.98576911369;7783.31046290674;47746.3795252864;33316.3865346955;4782.71475125378;7.55502426615772;1408.97649859589;8519.7313487993;8771.54804852344;9738.02288926004;4510.12892465823;7313.01712204597;7477.3996691374;50529.6187236687;34059.0080470023;4500.27985306297;14.0843492055073;1375.17012038814;10325.1056812305;8543.74862663021;9470.13714340736;4158.97435068322;7655.77465844204;8986.62379368167;15;18;20;16;16;18;13;12;14;14;13;-7
