"LIB_MOD";"CODGEO";"P08_ACTOCC15P";"P08_ACTOCC15P_ILT1";"P08_ACTOCC15P_ILT2";"P08_ACTOCC15P_ILT3";"P13_ACTOCC15P";"P13_ACTOCC15P_ILT1";"P13_ACTOCC15P_ILT2";"P13_ACTOCC15P_ILT3";"P18_ACTOCC15P";"P18_ACTOCC15P_ILT1";"P18_ACTOCC15P_ILT2";"P18_ACTOCC15P_ILT3";"Com_08_%";"Dept_08_%";"Reg_08_%";"Com_13_%";"Dept_13_%";"Reg_13_%";"Com_18_%";"Dept_18_%";"Reg_18_%";"Com_13_18_%";"Dept_13_18_%";"Reg_13_18_%"
"Paris 1er Arrondissement";75101;9721.5159614648;6990.05826474838;0;2523.89922916118;9212.54964938096;6524.82605719873;0;2483.42739691368;8425.16361916976;6157.03482337494;0;2087.30070079699;72;0;26;71;0;27;73;0;25;3;NA;-7
"Paris 2e Arrondissement";75102;12572.1662174673;8785.1474030363;0;3565.4042613764;12699.5806042913;9022.10735969756;0;3392.165504471;13047.7557023543;9303.60103453975;0;3525.6462658986;70;0;28;71;0;27;71;0;27;0;NA;0
"Paris 3e Arrondissement";75103;19544.9241984416;13765.4501683214;0;5361.95479068081;20052.7959865028;14514.3111555801;0;5089.05362914746;19297.163989367;13983.6402941011;0;4953.02957075074;70;0;27;72;0;25;72;0;26;0;NA;4
"Paris 4e Arrondissement";75104;14545.3889802812;10389.7453078025;0;3834.79177865715;14399.824655034;10489.6856482209;0;3518.79341893193;15122.8009943052;11065.3133466911;0;3712.26459226602;71;0;26;73;0;24;73;0;25;0;NA;4
"Paris 5e Arrondissement";75105;29603.5121714459;20910.1512411387;0;7954.70611866218;28743.1317452342;20268.7342441619;0;7818.7418576635;27414.216783115;19522.5893434372;0;7257.51551161703;71;0;27;71;0;27;71;0;26;0;NA;-4
"Paris 6e Arrondissement";75106;19964.0104962362;14621.0189958706;0;4804.52435525861;19710.708273352;14545.7406365797;0;4581.01526728971;18250.1909489263;13323.7714536639;0;4398.34527806515;73;0;24;74;0;23;73;0;24;-1;NA;4
"Paris 7e Arrondissement";75107;26616.1315964931;19811.4527036425;0;6284.66320238049;26597.5229345455;19654.0805932007;0;6213.32569892436;24042.2885892916;18032.1080001037;0;5394.45905049314;74;0;24;74;0;23;75;0;22;1;NA;-4
"Paris 8e Arrondissement";75108;18797.2064952267;13848.3254529351;0;4544.02723410887;19587.119762327;13987.9423283856;0;5169.41929721556;18475.6563035062;13250.5791788966;0;4880.47594218647;74;0;24;71;0;26;72;0;26;1;NA;0
"Paris 9e Arrondissement";75109;32172.5376350357;22525.2342303533;0;9024.63645161239;32745.3522401075;22881.2820258012;0;9170.84346734941;33990.5462721037;24213.4515012599;0;9045.39971176985;70;0;28;70;0;28;71;0;27;1;NA;-4
"Paris 10e Arrondissement";75110;49746.1851717597;34253.9466247085;0;14494.0487090987;49467.8241379326;34595.0985053832;0;13740.1108924719;47417.726849703;33091.5208739186;0;13319.1486871994;69;0;29;70;0;28;70;0;28;0;NA;0
"Paris 11e Arrondissement";75111;81722.1627696448;54833.9142528967;0;25537.331723313;83070.6765050743;56988.5812762292;0;24748.1055334759;80451.8603493189;56304.3948547784;0;22640.565988098;67;0;31;69;0;30;70;0;28;1;NA;-7
"Paris 12e Arrondissement";75112;73832.0495801993;47143.7926634338;0;25532.5378345187;74158.3928019926;47596.2335531572;0;25432.5048722432;70941.0245914298;46341.3623906663;0;23406.7053125761;64;0;35;64;0;34;65;0;33;2;NA;-3
"Paris 13e Arrondissement";75113;87311.022262111;58647.442318667;0;27452.627180963;85878.8095792015;58069.9773709335;0;26535.602386625;85444.9034312335;57215.7164995494;0;26806.4334965016;67;0;31;68;0;31;67;0;31;-1;NA;0
"Paris 14e Arrondissement";75114;66517.2164313597;43075.9051970536;0;22112.2938584805;66994.3278809116;43080.7236024498;0;22761.649693661;64896.4154739129;41981.2596885731;0;21747.5950728873;65;0;33;64;0;34;65;0;34;2;NA;0
"Paris 15e Arrondissement";75115;118201.233288127;77748.169866206;0;38779.5984160411;119019.491044347;77776.4809571739;0;39338.0877708429;114625.33323406;74759.6516071075;0;37982.172984014;66;0;33;65;0;33;65;0;33;0;NA;0
"Paris 16e Arrondissement";75116;71242.7707948922;49125.2690325058;0;20754.3444767996;72060.0789932242;49786.6510921596;0;20813.0604620894;74629.2058463108;51183.4663710593;0;21795.8055755121;69;0;29;69;0;29;69;0;29;0;NA;0
"Paris 17e Arrondissement";75117;82993.2818544927;53375.3096454632;0;28376.5210572225;85505.6104063192;55462.0452276034;0;28760.297807035;85527.4026162026;54887.5330036462;0;29217.4635916331;64;0;34;65;0;34;64;0;34;-2;NA;0
"Paris 18e Arrondissement";75118;98369.8160543048;66918.4063130226;0;29988.2965044862;100719.39403188;69008.7529706725;0;30152.4177110377;101706.820218193;70577.0638597275;0;29566.8084490963;68;0;30;69;0;30;69;0;29;0;NA;-3
"Paris 19e Arrondissement";75119;82333.5163530298;56135.1201209906;0;24925.8496586076;82293.6074834583;56962.6456814377;0;24136.5788169709;84005.0564691982;58356.3336159066;0;24232.7313856007;68;0;30;69;0;29;69;0;29;0;NA;0
"Paris 20e Arrondissement";75120;93471.8838244888;62908.1262595019;0;29297.9894596416;91906.9302470118;63691.1807074198;0;26960.1412960049;93566.7754899278;65473.2519321304;0;26705.1194876784;67;0;31;69;0;29;70;0;29;1;NA;0
