"LIB_MOD";"CODGEO";"P08_ACTOCC15P";"P08_ACTOCC15P_ILT1";"P08_ACTOCC15P_ILT2";"P08_ACTOCC15P_ILT3";"P13_ACTOCC15P";"P13_ACTOCC15P_ILT1";"P13_ACTOCC15P_ILT2";"P13_ACTOCC15P_ILT3";"P18_ACTOCC15P";"P18_ACTOCC15P_ILT1";"P18_ACTOCC15P_ILT2";"P18_ACTOCC15P_ILT3";"Com_08_%";"Dept_08_%";"Reg_08_%";"Com_13_%";"Dept_13_%";"Reg_13_%";"Com_18_%";"Dept_18_%";"Reg_18_%";"Com_13_18_%";"Dept_13_18_%";"Reg_13_18_%"
"Paris";75056;1089278.5321365;735811.986062298;0;335150.046301071;1094823.72896213;744907.080993446;0;330815.342780365;1081278.30777163;739023.643673131;0;322674.986654641;68;0;31;68;0;30;68;0;30;0;NA;0
"Antony";92002;27254.5643932587;4842.69253779301;6047.89243564108;16063.8002804958;27905.3672253624;5065.25089165017;5989.74145717965;16495.5186087337;29086.807438633;5270.34717803097;5848.92278463815;17628.4420103151;18;22;59;18;21;59;18;20;61;0;-5;3
"Asnières-sur-Seine";92004;39412.4420873428;6518.91394720971;13419.7070092769;19103.6464488706;41335.9112752863;6708.81495042916;13982.8643770996;20205.5686012488;41719.3313313218;6499.75879204322;14302.1914680406;20446.5753959593;17;34;48;16;34;49;16;34;49;0;0;0
"Bagneux";92007;17129.4773023036;2857.07511512035;4762.82467332632;9412.37100258047;16564.4490808619;3003.97157307968;4688.75687662041;8738.28435729725;17767.5262604272;2944.90320360675;4765.70229990598;9851.42351975668;17;28;55;18;28;53;17;27;55;-6;-4;4
"Bois-Colombes";92009;13280.3149269618;1681.18311211682;5389.29857626294;6076.32092281548;13599.8832478423;2245.89111068787;5196.21876811811;6018.85645117767;13741.7670050972;1967.30909755291;5372.49788980147;6205.63251224898;13;41;46;17;38;44;14;39;45;-18;3;2
"Boulogne-Billancourt";92012;54424.2639064022;15809.0412050863;11712.6069127388;26241.6574143262;58425.9153801784;17291.5458418784;12819.0853127668;27556.9270531381;61162.3176555276;16909.607171095;12975.4505371006;30357.6599719548;29;22;48;30;22;47;28;21;50;-7;-5;6
"Bourg-la-Reine";92014;9306.01083199528;1111.02087312868;2457.56149085186;5610.21112670133;8834.18718252748;1135.17513212957;2271.9491873014;5286.96874794025;9655.17710747826;1215.1139425835;2442.08991402892;5874.71098033458;12;26;60;13;26;60;13;25;61;0;-4;2
"Châtenay-Malabry";92019;14052.8217072617;2707.07289965823;4667.79622777075;6580.34278783767;14324.1212732846;2683.59640139412;4768.52835707443;6745.88006900479;15350.3626538216;2608.20524976927;5174.01150321435;7413.67953729061;19;33;47;19;33;47;17;34;48;-11;3;2
"Châtillon";92020;16793.5161298726;2321.40469554101;5748.75713351333;8556.32737217902;18630.6035741287;2854.69148730086;6030.78058623015;9540.77931909597;18295.6928554893;2863.29327434868;5611.84855671897;9644.46185285431;14;34;51;15;32;51;16;31;53;7;-3;4
"Chaville";92022;8886.1995493373;1315.16291087768;3000.45231275433;4492.72006222604;9543.30877128185;1350.95601039412;3598.18363788749;4500.40036210558;10168.0555173523;1344.19703904813;3601.14149887151;5050.31787970433;15;34;51;14;38;47;13;35;50;-7;-8;6
"Clamart";92023;23719.9637956198;5462.89263950894;7718.3876234572;10382.236870241;23943.0200324322;5447.0173558743;7815.01948412953;10484.7085949471;24418.4226648847;5180.50315139105;7975.4076706347;11007.3479043376;23;33;44;23;33;44;21;33;45;-9;0;2
"Clichy";92024;28370.7326893785;6608.71835499863;6864.86270670737;14656.6497717166;28796.1447478682;7134.75681524621;6642.02800924152;14786.5378386133;30001.2078318415;6544.78932161841;7541.9967509955;15632.4904530589;23;24;52;25;23;51;22;25;52;-12;9;2
"Colombes";92025;37369.4694577654;8178.42253194667;13301.7241772667;15591.3537372183;37121.1070946692;8719.42005760128;13158.1997397212;14883.6746900467;38230.1263869218;8220.24248303758;13672.3752919675;15980.4318127854;22;36;42;23;35;40;22;36;42;-4;3;5
"Courbevoie";92026;44373.6835951528;9849.036943821;14345.988973646;19661.424260367;42915.9189627124;10447.7749123454;13575.5065664321;18415.0513039466;41583.5595955907;9375.4641361033;13226.1163334176;18551.9505151262;22;32;44;24;32;43;23;32;45;-4;0;5
"Fontenay-aux-Roses";92032;11340.3445652427;1728.68141060052;3815.14814277528;5622.04469385638;10210.6853081124;1672.36629150734;3442.51141681932;5042.91327899595;11012.1359283269;1685.75964115809;3807.10026694444;5439.33715603757;15;34;50;16;34;49;15;35;49;-6;3;0
"Garches";92033;8077.02555785576;1367.98815758315;3385.40106455353;3218.59804815819;7842.99436631667;1698.54494133427;3075.83524227162;2957.98645061967;7983.64490845156;1510.85714009792;3076.96689770146;3243.55477646308;17;42;40;22;39;38;19;39;41;-14;0;8
"La Garenne-Colombes";92035;13716.7876496534;2034.68895246481;6046.29516820245;5541.75811803996;14667.5186671165;2275.3965073591;6060.8912230228;6165.8436245259;15102.8658216049;2138.67262249396;6366.77196683425;6403.14208827315;15;44;40;16;41;42;14;42;42;-12;2;0
"Gennevilliers";92036;16344.067260467;5032.20536620659;4616.64714946123;6641.99032790253;16161.9127084705;4567.80254090365;4601.76196438596;6869.03290639509;18142.2857467351;4999.17745742336;5581.86983684387;7398.73434258321;31;28;41;28;28;43;28;31;41;0;11;-5
"Issy-les-Moulineaux";92040;33394.2517772702;6623.3814268476;9438.89205212624;17070.27479406;34154.5428183479;7243.70358765535;9342.17250588096;17230.0666231596;35402.0127734619;7182.35033129867;9587.40414537367;18181.0243565956;20;28;51;21;27;50;20;27;51;-5;0;2
"Levallois-Perret";92044;32358.1016611595;7368.13491332587;8400.98829836519;16165.2760094929;32511.4413763242;7436.1983643552;8096.58867036111;16576.6480687412;33539.4196760542;7647.87082031715;8436.97809520247;16950.0057206091;23;26;50;23;25;51;23;25;51;0;0;0
"Malakoff";92046;15090.044635754;2882.98721408025;3927.7140750162;8157.55314247398;14836.2240553317;2978.26274270655;3801.03985086114;7912.73126614697;14516.9419334868;2575.42297522726;3938.61036391999;7848.26440880306;19;26;54;20;26;53;18;27;54;-10;4;2
"Marnes-la-Coquette";92047;676.348265063745;162.201167639722;234.630619856201;270.335279399536;674.539582717323;161.497376441464;220.626838281254;280.948098661483;787.20660835763;124.777648202138;295.561127308067;349.299514091351;24;35;40;24;33;42;16;38;44;-33;15;5
"Meudon";92048;20050.5865240639;3962.33322659557;6581.93581135063;9333.7269705063;20879.4126613869;4117.16639631139;6864.43963086976;9662.35350423999;20771.2111020842;4019.0584904647;6794.09673589513;9682.46250433548;20;33;47;20;33;46;19;33;47;-5;0;2
"Montrouge";92049;24429.4520621007;4147.33567307444;5425.28118341507;14616.7352661798;25854.1752349936;4299.71834233406;5622.73126211535;15688.4962491605;24901.142738203;4025.21047598169;5227.51396503403;15378.5575325329;17;22;60;17;22;61;16;21;62;-6;-5;2
"Nanterre";92050;38851.546982294;12841.637948753;12075.6748611009;13632.6676590859;39257.1497565348;12727.2621829427;11550.8510457065;14605.7697056491;42319.7477205489;13712.9252557406;12537.547603368;15647.3227504154;33;31;35;32;29;37;32;30;37;0;3;0
"Neuilly-sur-Seine";92051;26020.0998320457;6810.17474426177;5927.40634877332;12846.5908486777;27216.249907457;7242.85409891562;6367.71122602743;13082.8612696998;26572.9076146602;6387.86502351911;6337.54432153529;13269.7522593917;26;23;49;27;23;48;24;24;50;-11;4;4
"Le Plessis-Robinson";92060;12636.9520783372;2071.52036561071;4645.76092247974;5853.46363717007;14232.7306799729;2374.23293034253;5308.2356940458;6445.51897761099;14423.9787718208;2560.88083343842;5275.59851572182;6455.86018798553;16;37;46;17;37;45;18;37;45;6;0;0
"Puteaux";92062;22829.7601052292;5395.27391434318;7780.06823930742;9394.71020539839;22612.5607033639;5146.87662108367;7656.961423799;9589.75928378957;23281.998198631;5219.58736771204;7824.59022098897;9954.53388128388;24;34;41;23;34;42;22;34;43;-4;0;2
"Rueil-Malmaison";92063;37716.553145857;10461.1710020833;13122.0543976228;13750.5452163788;37637.2567867293;10358.0084647596;13148.8441699074;13598.4756868758;36099.7300965264;9244.8208122717;12849.6116517663;13514.9244095853;28;35;36;28;35;36;26;36;37;-7;3;3
