"LIB_MOD";"INSEE_COM";"HT21";"VV21";"VVUH21";"RT21"
"Paris 1er Arrondissement";75101;73;0;0;3
"Paris 2e Arrondissement";75102;48;0;0;1
"Paris 3e Arrondissement";75103;33;0;0;0
"Paris 4e Arrondissement";75104;38;0;0;0
"Paris 5e Arrondissement";75105;83;0;0;2
"Paris 6e Arrondissement";75106;105;0;0;4
"Paris 7e Arrondissement";75107;64;0;0;0
"Paris 8e Arrondissement";75108;154;0;0;3
"Paris 9e Arrondissement";75109;182;0;0;4
"Paris 10e Arrondissement";75110;117;0;0;3
"Paris 11e Arrondissement";75111;75;0;0;4
"Paris 12e Arrondissement";75112;79;0;0;7
"Paris 13e Arrondissement";75113;49;0;0;6
"Paris 14e Arrondissement";75114;98;0;0;2
"Paris 15e Arrondissement";75115;99;0;0;7
"Paris 16e Arrondissement";75116;71;0;0;4
"Paris 17e Arrondissement";75117;125;0;0;3
"Paris 18e Arrondissement";75118;67;0;0;5
"Paris 19e Arrondissement";75119;25;0;0;6
"Paris 20e Arrondissement";75120;26;0;0;3
