"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Paris 1er Arrondissement";75101;14305.2163590587;13213.1192139536;1110.08054790795;1834.44288720694;1470.96432430439;6770.99754512399;13000.1314679395;1968.4207640452;1937.61527665825;8296.05892306653;12116.9996613113;1204.24453213127;1383.14857488204;1010.54649503553;1958.98369624806;5276.62539804868;22;64;68;209;6
"Paris 2e Arrondissement";75102;18823.559656459;16175.292815647;2158.2614114939;2097.76067461785;1781.4900776768;8050.51925328735;16095.3294946646;2806.98218566423;2001.13771310727;10285.4828166275;16260.0244339141;1368.9020553963;1815.08539167606;1233.47051249535;2476.39533766997;7952.47129798203;22;64;72;227;12
"Paris 3e Arrondissement";75103;30118.9984251396;25598.4715627445;2723.16561368265;3387.36870911592;3015.40789060637;13136.324049323;26782.3912377113;4039.7214773209;3503.78186936477;17814.0519467759;25798.8884416805;2190.18064082275;3042.85437317077;1905.38684293253;4428.64346963943;12275.0003346645;24;67;72;200;7
"Paris 4e Arrondissement";75104;25364.5000006795;21082.751285056;1849.02760992856;3121.29495080963;2495.53939576758;10580.2638087386;20217.031099483;2709.59459803486;2751.31348139218;13522.4275750689;21322.0950645506;1600.41750491083;2725.65086335109;1510.08243767773;3573.79668864004;9942.51468335109;24;67;70;192;4
"Paris 5e Arrondissement";75105;51736.5185471013;41608.4082718409;3295.25270197416;5406.44771153296;4626.98485159511;22558.3516501686;40276.1352803885;4767.33512380465;4694.26125675497;28786.088752483;39181.8315530756;2910.7083903162;4079.34918572468;2545.91326747171;6331.96243233351;20249.4759218816;22;71;74;236;4
"Paris 6e Arrondissement";75106;36470.9469966892;30100.4092879403;2502.74323608933;4108.07971046948;3195.68972572231;17085.0028174703;30097.0698900552;3674.15659929002;3860.99647869916;21186.0676903805;28535.3307384381;2034.6201537901;3210.19689325919;1685.35680649879;4866.41559473882;14663.2778126003;21;70;74;252;6
"Paris 7e Arrondissement";75107;44252.3027273697;41037.8680954307;3824.35383641897;5712.85176407062;4349.01915980532;22781.6506612897;40274.4998191373;5292.90934169053;5600.29486838159;27776.3725700866;36394.4792619248;2800.72028339997;3946.56767949982;2263.3702765192;6179.79984279404;18558.6781823776;21;69;74;252;7
"Paris 8e Arrondissement";75108;30953.9427583337;27157.287426873;3113.85765748189;4210.60210430707;2838.28911165863;13621.4940307051;27373.2346904431;4252.89010951219;3931.30934226615;17667.4963160501;25717.6866324827;2274.00988648514;3037.75995421323;1566.82265103052;3802.87368702948;13034.8085625431;21;65;72;243;11
"Paris 9e Arrondissement";75109;51599.2357940239;43009.2921103507;4634.41089012643;5964.32545794835;5352.24406448619;20983.9040404296;43279.0710738639;6367.20193125544;5636.94348732595;28892.659360851;44271.9722889849;3607.33291851876;4830.92386242677;3091.57306452861;6922.32853199179;22483.5028187175;25;67;73;192;9
"Paris 10e Arrondissement";75110;75717.7961881238;67962.0672993013;11896.1792702519;9710.22300621967;8025.45285917661;26463.9450184462;66825.3203402825;13968.6689456184;8996.46225379337;38623.7166808042;65318.6175485211;8637.65702578358;7419.99785675629;5300.69913064477;10156.9410378703;27022.2107764306;24;58;65;171;12
