"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Paris";75056;1878752.61674007;1593680.42208151;215215.537527843;238480.715605321;194801.676164986;651204.479699651;1604650.29791372;328697.5983123;229369.52758043;914174.417678495;1585300.1957315;197864.474765539;199783.435899911;131210.485989704;244743.763152621;623399.336538148;24;57;63;162;11
"Antony";92002;51120.2643781662;41572.6967439127;4126.04317685652;6412.45846824196;5622.10847063989;13941.3441628573;42872.0469986504;8415.43908652496;6300.79383887171;22607.1193520355;44010.9627246897;4724.24369073169;5770.42623195357;4936.08917906622;6374.9333421806;15402.8421072446;27;53;61;126;15
"Asnières-sur-Seine";92004;68700.0535571339;56782.0939189152;9769.38804479751;9199.61368077093;7780.67038016522;15689.6040379774;59970.7733763111;14575.9015607774;9347.62313411099;28381.7349630621;59996.348360147;9176.79869238408;8625.88014300216;6356.98241859024;8107.29791531807;17559.1058520173;27;47;53;96;13
"Bagneux";92007;32225.1293817677;26671.4762076346;5015.72560695765;4564.41997715075;3123.83491995854;3721.04523022927;26586.7898785462;8979.38448805104;4699.90316816293;7829.70753335768;27794.8841808269;5790.82101424431;4930.45798629894;2708.85667267853;3107.70035596277;4253.94314614781;23;29;36;57;24
"Bois-Colombes";92009;22947.3802878168;19440.7957026701;2511.85069630718;3153.8480292505;2960.12290160381;5404.22128983414;19912.5317164821;4523.42387731732;3010.46427663651;9825.9888518916;19864.6563029341;2573.96344655734;2925.45481240519;2251.39880315399;3052.34468881525;5765.01350263725;30;49;56;87;14
"Boulogne-Billancourt";92012;101066.361832885;81819.5666879848;9730.36508497634;12546.0132328407;11162.4288482937;32318.8206998708;84285.7333562058;15591.2794789479;12024.3532889056;49303.5843868664;87960.0434088942;9190.91805411196;11055.7251660348;8540.2489647557;14061.7802340156;35477.7110627609;27;58;66;144;14
"Bourg-la-Reine";92014;17040.4158301229;14015.2817580782;1221.33079588325;1899.59298622616;1888.42546124109;6305.58516226093;13693.6928791455;2507.77461863637;1802.97671730677;8193.26324402152;14326.6312295986;1233.68861163725;1727.46744646449;1429.47674218375;2128.07219032914;6016.73175599721;27;60;67;148;12
"Châtenay-Malabry";92019;27769.4661861388;20834.5619734396;3191.56798578338;3151.0505264524;2904.10994768817;5516.40020084775;21508.1068676539;5243.44863887978;3410.0288515123;9407.77186691638;23381.1875020967;3677.18500217959;3433.74555117113;2701.63768170407;2982.42809059057;5807.56114284782;28;44;49;75;11
"Châtillon";92020;30020.165269659;23253.2990001759;2498.86421573014;3998.54627960124;3710.60952244327;6459.72557208605;25464.6498658902;5287.299965503;4110.98692451184;12729.0824508385;26144.6162576887;3506.84842922838;3751.79145728738;3275.9445914518;3378.64178034872;7531.57657632894;32;50;54;69;8
"Chaville";92022;16809.0775351804;13040.4274280618;1238.57075134706;2002.79844963611;2005.20689612509;4546.23188825219;13974.1930223873;2893.57710148758;1927.9965293293;7561.99306407639;14667.8992394992;1740.16416730805;1752.03566893239;1606.99258646483;2216.33199255737;5077.95854172012;31;54;61;97;13
