"CODGEO";"LIB_MOD";"PRIX17_19_%";"PrixMoyen_M2_1819";"LOC_13_18_%";"MED15_18_%";"MED18";"COMMUN_13_18_%";"ETCOQ18_20_%";"Total_18_20_%";"ETCGI20_%";"CDI_13_18_%";"CHOM_13_18_%";"Cad_13_18_%";"APL_SAPA";"SUP_13_18_%";"P13_P018_%";"P18_POP01P_IRAN1_%";"cluster"
75101;"Paris 1er Arrondissement";16.5;10855.3913043478;-3;8;34350;-5;32;25;25;0;10;-9;988.18;6;-5;87;"Moderat"
75102;"Paris 2e Arrondissement";11.3;10582.2944162437;0;9;32700;-2;16;2;22;2;-9;6;931.32;12;-1;84;"Moderat"
75103;"Paris 3e Arrondissement";2.1;10866.8138996139;0;7;33060;0;-5;-8;25;2;-9;-3;917.31;7;-5;86;"Moderat"
75104;"Paris 4e Arrondissement";3.9;11375.0205714286;2;5;31930;7;-5;8;25;1;10;3;973.84;4;5;86;"Moderat"
75105;"Paris 5e Arrondissement";3.9;11014.1336939722;-2;4;34250;0;-7;8;24;1;-10;0;958.98;4;-3;85;"Moderat"
75106;"Paris 6e Arrondissement";-13;11613.0844444444;4;6;40730;0;2;-5;21;1;11;3;961.26;6;-7;85;"Baix"
75107;"Paris 7e Arrondissement";-3.5;11680.1350397176;-4;6;44490;-2;-9;5;17;2;0;0;981.51;7;-11;86;"Baix"
75108;"Paris 8e Arrondissement";-1.5;10587;-2;9;43520;0;13;20;24;1;-11;6;995.8;11;-8;86;"Baix"
75109;"Paris 9e Arrondissement";10.2;10298.3000449843;2;8;35390;-5;-6;-13;23;2;-10;11;963.08;9;1;85;"Moderat"
75110;"Paris 10e Arrondissement";13.4;9460.29282296651;2;9;27420;-3;-1;1;30;4;0;7;970.77;12;-4;87;"Elevat"
75111;"Paris 11e Arrondissement";11.9;9534.49708576186;0;9;28530;-1;12;9;26;1;-8;7;953.88;10;-5;87;"Elevat"
75112;"Paris 12e Arrondissement";3.8;8851.52602389078;2;8;28780;0;0;16;33;0;0;0;955.42;11;-3;88;"Elevat"
75113;"Paris 13e Arrondissement";11.9;8739.37037037037;3;5;24720;1;10;3;31;0;8;4;985.29;10;-2;88;"Crític"
75114;"Paris 14e Arrondissement";5.6;9553.13149962321;-3;4;28340;1;10;16;32;0;0;4;973.11;10;-3;86;"Elevat"
75115;"Paris 15e Arrondissement";7.8;9652.13419602205;0;5;31760;3;4;8;24;1;11;0;958.44;8;-2;87;"Moderat"
75116;"Paris 16e Arrondissement";-1.6;10296.3236005207;0;5;40400;0;-6;6;19;1;0;4;1015.62;8;0;87;"Baix"
75117;"Paris 17e Arrondissement";5.1;9910.31296063275;-2;7;31940;-2;22;27;28;0;-8;7;974.1;12;-2;86;"Moderat"
75118;"Paris 18e Arrondissement";6.6;8865.7224209472;2;11;23160;-1;2;15;37;2;-14;13;971.66;14;-3;88;"Crític"
75119;"Paris 19e Arrondissement";15;8065.03390757452;4;9;20900;0;19;22;44;0;0;11;931.35;14;0;90;"Crític"
75120;"Paris 20e Arrondissement";15.2;8333.88990825688;-1;7;22100;0;-9;2;36;0;-7;10;921.7;18;0;91;"Crític"
