"LIB_MOD";"INSEE_COM";"P08_LOG";"C08_MEN";"P08_RP";"P08_RSECOCC";"P08_LOGVAC";"P08_RP_PROP";"P08_RP_LOC";"P08_ANEM_RP_PROP";"P08_ANEM_RP_LOC";"P08_RP_VOIT1P";"P13_LOG";"C13_MEN";"P13_RP";"P13_RSECOCC";"P13_LOGVAC";"P13_RP_PROP";"P13_RP_LOC";"P13_ANEM_RP_PROP";"P13_ANEM_RP_LOC";"P13_RP_VOIT1P";"P18_LOG";"C18_MEN";"P18_RP";"P18_RSECOCC";"P18_LOGVAC";"P18_RP_PROP";"P18_RP_LOC";"P18_ANEM_RP_PROP";"P18_ANEM_RP_LOC";"P18_RP_VOIT1P";"Prixm2";"Nb_Ventes";"PrixMoyen_M2";"PrixMoyen_M2_1819";"loyer_apparts";"loyer_maisons";"RP_13_%";"RSE_13_%";"VAC_13_%";"RP_18_%";"RSE_18_%";"VAC_18_%";"RP_PROP_13_%";"RP_LOC_13_%";"RP_PROP_18_%";"RP_LOC_18_%";"PROP_13_18_%";"LOC_13_18_%";"VOIT_13_%";"VOIT_18_%";"VOIT_13_18_%";"PRIX17_19_%"
"Paris";75056;1344203.21912542;1148719.73239018;1148845.18539231;84608.8081170426;110749.225616067;379896.241109181;703741.563553089;6372137.81866746;7158340.73095338;466133.159241989;1358884.38780997;1153816.90707924;1153812.312663;100513.664397897;104558.410749079;384383.792151367;708913.292370784;6776700.86385467;7237224.69630808;431851.110973971;1386846.10496083;1140437.88098701;1140771.70043806;128408.298300621;117666.106222144;378190.007548075;706616.092955496;6908580.82731226;7339273.00363027;383171.590894366;NA;0;0;NA;0;0;85;7;8;82;9;8;33;61;33;62;0;2;37;34;-8;NA
"Antony";92002;26919.5336611561;25159.6123919439;25157.6123892678;354.602785316476;1407.31848657183;14453.795931011;10046.555717807;270995.727933833;107478.692279063;19731.8904599175;27968.5469170904;25912.9376334159;25912.9376334159;330.854118745855;1724.75516492859;15221.8517330335;10126.5825224623;281425.732937529;111247.900261669;20445.3199384372;29392.954615772;27221.750008612;27219.7500119465;485.06578939037;1688.13881443507;15734.1955020581;10555.1806581306;296902.422942657;101037.685181607;21421.2084987199;4812;695;5266;5244.21007806955;19.78974523;18.28478362;93;1;6;93;2;6;59;39;58;39;-2;0;79;79;0;9
"Asnières-sur-Seine";92004;41244.1088474482;35441.3635608774;35439.3635547347;1258.25720930209;4546.48808341138;14824.0109417282;19777.8921062746;222846.05140545;189835.058883948;22537.2708460636;42437.8622433515;37903.8350597901;37906.9287196659;910.256999730894;3620.67652395469;16717.5061380315;20393.1576901336;257011.548526911;196496.300345778;22869.8871588191;43480.0606469368;37917.2501252714;37930.3508658451;1263.07971155815;4286.6300695336;15929.752100631;21270.3805904483;244526.731229633;214553.578691178;21914.1298302935;5379;1372;6340;6136.21022524133;20.82248488;18.77958336;89;2;9;87;3;10;44;54;42;56;-5;4;60;58;-3;14
"Bagneux";92007;16760.5351946097;16030.0231666054;16027.0231600176;89.7388795812994;643.773155010884;3528.33575604951;12239.4413686748;65547.9588534147;174076.150804381;10620.7650588346;16983.8918131623;15920.4637121474;15918.4637257399;127.688709241319;937.739378181068;4070.14847648123;11701.4615435861;70820.6767990672;179493.121396391;10239.6497696849;18122.8206833843;17009.520288603;17012.5202569825;321.207995728684;789.092430673085;4166.13794111955;12603.2113411589;66097.7941601654;186052.114495486;10516.4147256655;4425;229;4925;4920.80082987552;19.39655788;19.3835071;94;1;6;94;2;4;26;74;24;74;-8;0;64;62;-3;11
"Bois-Colombes";92009;13591.1701013602;12275.3235671073;12275.3235671073;335.593025623973;980.253508628956;6429.26552643403;5476.07976490674;102489.743134979;53314.3909086979;8004.98333652551;13569.8356124088;12412.5068187602;12412.5068187602;431.140452515892;726.188341132694;6496.58947993459;5670.61165051257;106042.229458998;58215.8192976509;7918.82884355929;13962.9297682125;12690.5554430904;12690.5554430904;376.776630461088;895.597694660947;6573.1289856618;5872.54620613161;110303.743154364;53084.6573861847;7876.9722404907;5568;476;6467;6335.51505711319;20.5236629;18.40299541;91;3;5;91;3;6;52;46;52;46;0;0;64;62;-3;14
"Boulogne-Billancourt";92012;61598.5979469261;55042.0113076598;55041.0113058803;2421.18269649602;4136.40394454978;23722.823868571;29127.1440440673;387790.807959403;278362.771246727;34943.5349067814;64061.8777042551;57154.4451613642;57156.4451570849;2643.69180757889;4261.74073959125;25207.2369768537;29798.0691285518;401874.575550285;256301.302287041;34888.4334734921;67339.7590312047;59290.427536544;59294.8525382584;3752.23105289381;4292.67544005242;25932.0619633973;31180.0293703969;431471.239204176;263071.544606329;35746.8533567274;7360;1693;8648;8391.13014827018;25.50378068;29.04565906;89;4;7;88;6;6;44;52;44;53;0;2;61;60;-2;14
"Bourg-la-Reine";92014;9492.56596555538;8940.06745195865;8940.06745195865;111.324088814755;441.174424781975;4626.00266399486;4033.87732741798;83752.6960743025;35269.2971025865;6461.78935099418;9682.69937937336;8910.12842876047;8913.12849586951;134.701546086169;634.869337417677;4512.23819885104;4177.31943887345;83785.4017211661;45152.1687840444;6054.55822441655;10001.1177045987;9175.99498452621;9177.99501017584;202.82523635996;620.297458062871;4579.66822558972;4395.78717670163;80680.5262100181;39625.0690326151;6166.27333877328;5057;264;5494;5442.39694656489;20.43431195;20.41062337;92;1;7;92;2;6;51;47;50;48;-2;2;68;67;-1;8
"Châtenay-Malabry";92019;13795.6416749684;13031.5975900299;13031.5975900299;97.1603527074407;666.883732231043;4691.03952559195;8091.50506515745;73474.703625185;99395.5179420661;10007.0210811527;14452.9623024423;13334.9224967383;13334.9224967383;166.638644153893;951.401161550117;5248.0543496977;7739.18423508972;83424.8008692389;93977.4540147108;10345.0735956063;15550.6788298915;14401.9377748543;14401.9377748543;236.006386323992;912.734668713234;6123.95822725656;8011.42486126437;95624.3552817292;94616.102259959;11188.1469699783;4319;332;4714;4547.01791044776;19.62789029;18.51190402;92;1;7;93;2;6;39;58;43;56;10;-3;78;78;0;5
"Châtillon";92020;15583.4831856915;14352.4850251314;14354.4850227887;261.234399333941;967.763763568911;6996.75034167393;7120.4204313172;103788.455412513;71415.924415413;11006.9380851315;17027.5507081196;15992.1608388557;15995.1608483664;276.446340595733;755.943519157444;7296.2849244286;8361.29901808837;115156.759688739;84502.0660257288;11635.406430895;17884.3143538249;16504.4440215583;16512.4439316169;438.010830510405;933.8595916976;7944.51241817982;8271.56909657378;127999.346631797;86610.9595649739;11492.4370895474;5311;442;5890;5791.97577092511;20.7547204;21.69091861;94;2;4;92;2;5;46;52;48;50;4;-4;73;70;-4;9
"Chaville";92022;8954.88795031927;8020.12961380355;8021.12959983444;266.156911300958;667.601439183872;4222.58717779032;3577.93098720687;78346.3638202065;38876.2482363901;6265.13079556348;9219.8165193789;8483.15259079804;8483.15259079804;168.23940160142;568.424526979435;4582.50163252865;3758.79204268615;89348.4735142194;35772.492769408;6640.30198870601;9929.93317264589;9048.61440329738;9044.6144328517;170.457491520986;714.8612482732;4783.69620951512;4070.54198569927;86384.6335198159;38642.873465493;6878.82351417921;5064;258;5906;5769.26601941748;20.22952863;20.66275346;92;2;6;91;2;7;54;44;53;45;-2;2;78;76;-3;14
