"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Paris";75056;1094823.72896213;703024.405456144;106858.00590313;139276.734225706;1081278.30777163;695363.284571848;113573.607433625;115036.506586075;6883;7753;7187;1699;2170;1761;2273;2793;2676;64;10;13;64;11;11;0;10;-15;4;4;18
"Antony";92002;27905.3672253624;11961.0961347631;1473.8838762939;12415.6586110911;29086.807438633;12809.0603049202;1369.70065187465;12529.2637002713;112;168;132;21;36;17;43;52;46;43;5;44;44;5;43;2;0;-2;18;-19;7
"Asnières-sur-Seine";92004;41335.9112752863;22369.3208197661;3021.77561939269;11601.4730859626;41719.3313313218;23758.3161669374;2930.48463077152;10159.17151441;126;169;166;29;69;47;102;112;120;54;7;28;57;7;24;6;0;-14;32;62;18
"Bagneux";92007;16564.4490808619;8314.64954346922;1151.23968558356;5631.34834043666;17767.5262604272;9380.01724605871;1085.51877990155;5722.84956436358;44;53;39;12;20;16;53;49;52;50;7;34;53;6;32;6;-14;-6;-11;33;-2
"Bois-Colombes";92009;13599.8832478423;6576.83159491156;1084.79411495347;4075.17826219306;13741.7670050972;7225.68525090619;1061.1115441957;3695.44072235815;42;71;41;14;13;17;12;22;25;48;8;30;53;8;27;10;0;-10;-2;21;108
"Boulogne-Billancourt";92012;58425.9153801784;25358.1434539026;7933.72226163349;18061.72809179;61162.3176555276;27444.7696734404;8199.03600607868;17279.3051567402;312;316;338;59;125;133;103;109;98;43;14;31;45;13;28;5;-7;-10;8;125;-5
"Bourg-la-Reine";92014;8834.18718252748;4695.62580222892;653.147982931779;2791.75923920674;9655.17710747826;5357.41540394598;584.105144290923;2891.87661049607;48;39;33;12;10;8;13;28;13;53;7;32;55;6;30;4;-14;-6;-31;-33;0
"Châtenay-Malabry";92019;14324.1212732846;4834.96372632373;924.779793691201;7477.49052173787;15350.3626538216;5306.67622005264;839.121695292923;7892.99144968906;49;69;53;12;6;15;22;24;21;34;6;52;35;5;51;3;-17;-2;8;25;-5
"Châtillon";92020;18630.6035741287;8563.07135948248;1479.56765249742;6690.85953854343;18295.6928554893;9168.2911601967;1469.33197679544;5639.15446248734;61;72;64;16;15;19;24;33;37;46;8;36;50;8;31;9;0;-14;5;19;54
"Chaville";92022;9543.30877128185;4498.86950508368;493.433686766532;3733.87405412209;10168.0555173523;5170.20515379979;522.07374772071;3649.17836202512;31;36;38;9;8;8;11;6;14;47;5;39;51;5;36;9;0;-8;23;-11;27
"Clamart";92023;23943.0200324322;8604.2695675708;1831.49955040906;10785.4913432146;24418.4226648847;9538.88755525287;1730.46548517451;9805.90311547673;90;107;74;20;30;28;47;38;64;36;8;45;39;7;40;8;-12;-11;-18;40;36
