"LIB_MOD";"CODGEO";"MED15";"MED18";"TP6015";"TP6018";"TP60TOL118";"TP60TOL218";"SNHM19";"SNHMC19";"SNHMP19";"SNHME19";"SNHMO19";"MED15_18_%";"TP6015_18_%"
"Paris";75056;26431;28270;16;15;6;20;25.1438680882259;35.4186618436224;18.7639437293079;12.4098307857759;11.3273768763767;7;-6
"Antony";92002;28777;30260;8;8;5;17;23.4988751133804;31.4432740179662;17.1208821787019;12.5810023996374;12.115685698148;5;0
"Asnières-sur-Seine";92004;23775;26210;16;15;5;24;22.3115926264495;30.9624360097931;17.227273410472;12.4275233081331;11.6633214072871;10;-6
"Bagneux";92007;18293;19780;20;19;5;24;15.7538067374855;24.8882887402733;15.7390560093256;11.3872326592919;11.5726407061927;8;-5
"Bois-Colombes";92009;28105;30580;12;10;5;21;24.8703276188277;33.1469458382535;17.97748769476;12.9502938885194;12.0152349429043;9;-17
"Boulogne-Billancourt";92012;31268;33590;10;9;5;14;28.5565206568462;36.6739551776239;19.6667180658225;13.4873063043076;12.0233672075336;7;-10
"Bourg-la-Reine";92014;31040;32570;8;8;5;16;24.6769733512162;31.7116564285859;17.6883984762391;12.5487268265537;12.0922188495698;5;0
"Châtenay-Malabry";92019;23782;25290;12;12;5;20;20.184958022857;29.7396249660454;17.0913344467587;12.1206205120691;11.6658157976595;6;0
"Châtillon";92020;27258;29000;9;9;5;15;21.6972649795738;28.1885460851496;17.280068432871;12.8105968431482;12.7168533991168;6;0
"Chaville";92022;29288;30890;8;7;5;14;24.7126103640228;32.786362958039;17.4144609112052;12.7888879141607;11.7934678388812;5;-12
"Clamart";92023;25911;27580;11;11;5;21;22.957744758717;33.2751972691606;17.5386433925876;12.4592893298018;11.9752705614798;6;0
"Clichy";92024;18424;20300;25;23;9;28;17.9502162699151;25.9214162384014;16.0622424282593;11.9166556561037;11.3462458596183;10;-8
"Colombes";92025;21158;23140;20;17;5;28;20.3791181394316;31.1992455932775;16.7853648631185;11.9498491621527;11.5656249648308;9;-15
"Courbevoie";92026;28932;30930;10;10;5;15;24.7690498188387;31.2202261227359;18.0890716785196;13.146265467368;12.107082795353;7;0
"Fontenay-aux-Roses";92032;25036;25520;10;11;5;19;20.2939691456759;29.3081382987564;16.586874901795;11.8772341711915;11.744953645628;2;10
"Garches";92033;33418;34750;6;7;5;13;32.776026636893;44.5945726924242;19.6587140305219;13.5228268079666;12.9304485469782;4;17
"La Garenne-Colombes";92035;29002;31280;9;8;5;14;24.8370685039318;32.3972709883459;18.4260585453042;13.0628202452457;12.5616676012067;8;-11
