"LIB_MOD";"CODGEO";"ENCTOT20";"ENCTOT19";"ENCTOT18";"ETCGI19";"ETCGI18";"ETCGI20";"ETCTOT18";"ETCTOT19";"ETCTOT20";"ETCLZ18";"ETCLZ19";"ETCLZ20";"ETCGI18_%";"ETCGI19_%";"ETCGI20_%";"ETCLZ18_%";"ETCLZ19_%";"ETCLZ20_%";"Total_18_20_%";"ETCGI18_20_%";"ETCTOT18_20_%";"ETCLZ18_20_%"
"Paris";75056;76851;78179;69699;20468;18855;23849;76084;85490;83612;2701;3161;2917;25;24;29;4;4;3;10;26;10;8
"Antony";92002;993;1008;876;251;264;318;926;1081;1082;40;39;38;29;23;29;4;4;4;13;20;17;-5
"Asnières-sur-Seine";92004;2042;1992;1754;672;639;754;1893;2137;2138;62;70;58;34;31;35;3;3;3;16;18;13;-6
"Bagneux";92007;776;741;700;330;345;389;731;793;827;10;16;18;47;42;47;1;2;2;11;13;13;80
"Bois-Colombes";92009;588;511;448;129;109;181;472;562;622;21;22;28;23;23;29;4;4;5;31;66;32;33
"Boulogne-Billancourt";92012;2901;3092;2813;643;659;622;3055;3370;3179;167;205;187;22;19;20;5;6;6;3;-6;4;12
"Bourg-la-Reine";92014;282;345;312;83;94;79;341;362;308;6;11;7;28;23;26;2;3;2;-10;-16;-10;17
"Châtenay-Malabry";92019;501;506;479;170;183;184;517;540;532;23;24;12;35;31;35;4;4;2;5;1;3;-48
"Châtillon";92020;579;584;514;132;160;160;555;625;628;27;24;24;29;21;25;5;4;4;13;0;13;-11
"Chaville";92022;311;286;313;60;91;87;316;302;331;10;17;14;29;20;26;3;6;4;-1;-4;5;40
"Clamart";92023;915;862;756;261;241;322;805;909;978;34;28;40;30;29;33;4;3;4;21;34;21;18
"Clichy";92024;1609;1543;1408;612;576;676;1499;1700;1746;25;30;40;38;36;39;2;2;2;14;17;16;60
"Colombes";92025;1735;1652;1450;576;609;760;1536;1736;1858;44;48;52;40;33;41;3;3;3;20;25;21;18
"Courbevoie";92026;1828;1889;1749;449;453;558;1888;2066;2025;64;78;63;24;22;28;3;4;3;5;23;7;-2
"Fontenay-aux-Roses";92032;339;361;313;105;120;120;335;375;362;12;10;11;36;28;33;4;3;3;8;0;8;-8
"Garches";92033;294;315;284;58;86;52;305;325;311;20;19;22;28;18;17;7;6;7;4;-40;2;10
"La Garenne-Colombes";92035;534;513;508;111;150;142;552;541;581;26;26;27;27;21;24;5;5;5;5;-5;5;4
"Gennevilliers";92036;888;940;814;494;510;473;882;1025;978;8;18;17;58;48;48;1;2;2;9;-7;11;112
"Issy-les-Moulineaux";92040;1239;1328;1165;329;280;324;1272;1490;1359;57;64;69;22;22;24;4;4;5;6;16;7;21
"Levallois-Perret";92044;1654;1710;1587;389;376;399;1792;1885;1797;97;105;109;21;21;22;5;6;6;4;6;0;12
"Malakoff";92046;569;554;506;162;179;222;544;602;616;11;16;15;33;27;36;2;3;2;12;24;13;36
"Marnes-la-Coquette";92047;42;28;37;3;4;7;36;29;42;3;2;5;11;10;17;8;7;12;14;75;17;67
"Meudon";92048;751;770;775;192;252;216;835;811;802;24;20;36;30;24;27;3;2;4;-3;-14;-4;50
"Montrouge";92049;926;898;877;248;256;242;945;991;995;54;31;39;27;25;24;6;3;4;6;-5;5;-28
"Nanterre";92050;2041;1919;1680;820;811;1028;1825;2090;2194;36;35;36;44;39;47;2;2;2;21;27;20;0
"Neuilly-sur-Seine";92051;1890;1874;1774;299;327;344;1913;2048;2072;154;147;167;17;15;17;8;7;8;7;5;8;8
"Le Plessis-Robinson";92060;332;353;310;85;96;105;343;377;367;16;21;20;28;23;29;5;6;5;7;9;7;25
"Puteaux";92062;1068;1008;943;279;283;298;1084;1191;1227;41;61;70;26;23;24;4;5;6;13;5;13;71
"Rueil-Malmaison";92063;1409;1424;1356;365;371;422;1443;1512;1528;61;70;64;26;24;28;4;5;4;4;14;6;5
"Saint-Cloud";92064;553;599;515;124;98;100;566;661;591;38;35;44;17;19;17;7;5;7;7;2;4;16
"Sceaux";92071;274;288;256;61;49;62;279;307;294;13;11;19;18;20;21;5;4;6;7;27;5;46
"Sèvres";92072;388;446;416;113;113;88;441;498;418;17;21;29;26;23;21;4;4;7;-7;-22;-5;71
"Suresnes";92073;953;938;865;281;257;284;908;1008;1058;42;43;76;28;28;27;5;4;7;10;11;17;81
"Vanves";92075;479;446;483;94;144;129;516;472;509;19;15;13;28;20;25;4;3;3;-1;-10;-1;-32
"Vaucresson";92076;164;170;148;36;37;39;157;182;171;10;9;12;24;20;23;6;5;7;11;5;9;20
"Ville-d'Avray";92077;170;238;183;39;41;42;194;251;188;10;17;14;21;16;22;5;7;7;-7;2;-3;40
"Villeneuve-la-Garenne";92078;463;402;361;217;217;225;399;437;498;3;6;7;54;50;45;1;1;1;28;4;25;133
"Aubervilliers";93001;2592;2320;1994;1392;1297;1698;2143;2486;2783;32;26;18;61;56;61;1;1;1;30;31;30;-44
"Aulnay-sous-Bois";93005;1489;1334;1130;680;632;766;1229;1422;1573;23;22;25;51;48;49;2;2;2;32;21;28;9
"Bagnolet";93006;881;921;799;374;394;411;857;992;953;13;23;17;46;38;43;2;2;2;10;4;11;31
"Le Blanc-Mesnil";93007;928;910;757;470;426;538;796;976;970;10;8;13;54;48;55;1;1;1;23;26;22;30
