"LIB_MOD";"INSEE_COM";"HT21";"VV21";"VVUH21";"RT21"
"Paris";75056;1611;0;0;67
"Antony";92002;4;0;0;0
"Asnières-sur-Seine";92004;3;0;0;4
"Bagneux";92007;1;0;0;1
"Bois-Colombes";92009;0;0;0;2
"Boulogne-Billancourt";92012;20;0;0;5
"Bourg-la-Reine";92014;1;0;0;0
"Châtenay-Malabry";92019;2;0;0;0
"Châtillon";92020;2;0;0;0
"Chaville";92022;1;0;0;0
"Clamart";92023;6;0;0;1
"Clichy";92024;14;0;0;2
"Colombes";92025;3;0;0;1
"Courbevoie";92026;12;0;0;9
"Fontenay-aux-Roses";92032;1;0;0;0
"Garches";92033;0;0;0;0
"La Garenne-Colombes";92035;2;0;0;0
"Gennevilliers";92036;11;0;0;0
"Issy-les-Moulineaux";92040;13;0;0;2
"Levallois-Perret";92044;15;0;0;1
"Malakoff";92046;6;0;0;2
"Marnes-la-Coquette";92047;0;0;0;0
"Meudon";92048;6;0;0;0
"Montrouge";92049;5;0;0;2
"Nanterre";92050;10;0;0;2
"Neuilly-sur-Seine";92051;9;0;0;0
"Le Plessis-Robinson";92060;2;0;0;0
"Puteaux";92062;9;0;0;3
"Rueil-Malmaison";92063;10;0;0;0
"Saint-Cloud";92064;4;0;0;0
"Sceaux";92071;2;0;0;0
"Sèvres";92072;1;0;0;0
"Suresnes";92073;8;0;0;0
"Vanves";92075;4;0;0;2
"Vaucresson";92076;0;0;0;0
"Ville-d'Avray";92077;1;0;0;0
"Villeneuve-la-Garenne";92078;1;0;0;0
"Aubervilliers";93001;5;0;0;0
"Aulnay-sous-Bois";93005;6;0;0;0
"Bagnolet";93006;8;0;0;0
"Le Blanc-Mesnil";93007;6;0;0;1
"Bobigny";93008;3;0;0;0
"Bondy";93010;1;0;0;0
"Le Bourget";93013;2;0;0;0
"Clichy-sous-Bois";93014;0;0;0;0
"Coubron";93015;0;0;0;0
"La Courneuve";93027;3;0;0;0
"Drancy";93029;1;0;0;1
"Dugny";93030;1;0;0;0
"Épinay-sur-Seine";93031;2;0;0;0
"Gagny";93032;0;0;0;0
"Gournay-sur-Marne";93033;0;0;0;0
"L'Île-Saint-Denis";93039;0;0;0;0
"Les Lilas";93045;0;0;0;1
"Livry-Gargan";93046;1;0;0;0
"Montfermeil";93047;0;0;0;0
"Montreuil";93048;4;0;0;1
"Neuilly-Plaisance";93049;1;0;0;1
"Neuilly-sur-Marne";93050;0;0;0;0
"Noisy-le-Grand";93051;5;0;0;0
"Noisy-le-Sec";93053;0;0;0;0
"Pantin";93055;7;0;0;1
"Les Pavillons-sous-Bois";93057;0;0;0;0
"Pierrefitte-sur-Seine";93059;0;0;0;0
"Le Pré-Saint-Gervais";93061;0;0;0;0
"Le Raincy";93062;0;0;0;0
"Romainville";93063;2;0;0;0
"Rosny-sous-Bois";93064;3;0;0;0
"Saint-Denis";93066;15;0;0;1
"Saint-Ouen-sur-Seine";93070;7;0;0;1
"Sevran";93071;0;0;0;0
"Stains";93072;1;0;0;0
"Tremblay-en-France";93073;7;0;0;0
"Vaujours";93074;0;0;0;0
"Villemomble";93077;2;0;0;0
"Villepinte";93078;8;0;0;0
"Villetaneuse";93079;0;0;0;0
"Ablon-sur-Seine";94001;0;0;0;0
"Alfortville";94002;2;0;0;0
"Arcueil";94003;2;0;0;2
"Boissy-Saint-Léger";94004;1;0;0;0
"Bonneuil-sur-Marne";94011;2;0;0;0
"Bry-sur-Marne";94015;1;0;0;1
"Cachan";94016;1;0;0;0
"Champigny-sur-Marne";94017;1;0;0;0
"Charenton-le-Pont";94018;3;0;0;1
"Chennevières-sur-Marne";94019;0;0;0;0
"Chevilly-Larue";94021;5;0;0;1
"Choisy-le-Roi";94022;1;0;0;1
"Créteil";94028;5;0;0;1
"Fontenay-sous-Bois";94033;3;0;0;0
"Fresnes";94034;2;0;0;0
"Gentilly";94037;1;0;0;0
"L'Haÿ-les-Roses";94038;0;0;0;0
"Ivry-sur-Seine";94041;4;0;0;3
"Joinville-le-Pont";94042;3;0;0;0
"Le Kremlin-Bicêtre";94043;5;0;0;1
"Limeil-Brévannes";94044;0;0;0;1
"Maisons-Alfort";94046;3;0;0;1
"Mandres-les-Roses";94047;0;0;0;0
"Marolles-en-Brie";94048;0;0;0;0
"Nogent-sur-Marne";94052;3;0;0;1
"Noiseau";94053;0;0;0;0
"Orly";94054;3;0;0;1
"Ormesson-sur-Marne";94055;0;0;0;0
"Périgny";94056;0;0;0;0
"Le Perreux-sur-Marne";94058;1;0;0;0
"Le Plessis-Trévise";94059;0;0;0;0
"La Queue-en-Brie";94060;2;0;0;0
"Rungis";94065;10;0;0;1
"Saint-Mandé";94067;1;0;0;0
"Saint-Maur-des-Fossés";94068;5;0;0;0
"Saint-Maurice";94069;2;0;0;1
"Santeny";94070;1;0;0;0
"Sucy-en-Brie";94071;1;0;0;0
"Thiais";94073;0;0;0;0
"Valenton";94074;0;0;0;0
"Villecresnes";94075;0;0;0;0
"Villejuif";94076;4;0;0;3
"Villeneuve-le-Roi";94077;1;0;0;0
"Villeneuve-Saint-Georges";94078;2;0;0;0
"Villiers-sur-Marne";94079;0;0;0;0
"Vincennes";94080;9;0;0;2
"Vitry-sur-Seine";94081;3;0;0;2
